#SHEET_NAME,忆-第十一回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,,方知宥,,,,,,,,默认21,,方知宥/24_方知宥_04,,[好想法……],[好想法……],"""Good idea...""",「素晴らしい考え方だ……」,"""Отличная идея..."""
,,,,,,,,,,默认22,,,,我不禁脱口而出了对雁儿姐的赞叹。,我不禁脫口而出了對雁兒姐的讚嘆。,I couldn’t help but blurt out my admiration for <ruby=Swan Goose>Sister Yan</ruby>.,雁姉への賛辞を口にせずにはいられなかった。,Невольно похвалил я сестричку Лебёдушку.
,CharacterOff,,,,,,,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认23,,,,我有写书的志向。,我有寫書的志向。,I aspire to write a book.,私には本を書きたいという夢がある。,Я хочу написать книгу.
,,,,,,,,,,默认24,,,,她也有重获自由身的志向。,她也有重獲自由身的志向。,She also aspires to regain her freedom.,彼女にも自由の身になりたいという夢がある。,Она хочет сбежать.
,,,,,,,,,,默认25,,,,而且，她对于“自由身”的定义，大概与我不同。,而且，她對於“自由身”的定義，大概與我不同。,"Moreover, her idea of ""freedom"" is likely different from mine.",そして、彼女にとっての「自由の身」の定義は、おそらく私と異なる。,"Её понимание ""свободы"", скорее всего, отличается от моего."
,,,,,,,,,,默认26,,,,我只想着将她从青楼中赎出，娶她为妻。,我只想著將她從青樓中贖出，娶她為妻。,I only thought of buying her out of the pleasure house and making her my wife.,私のは単に青楼から身請けし、妻としたいというものだ。,"Я лишь думал об её выкупе из ""зелёного терема"", чтобы жениться на ней."
,,,,,,,,,,默认27,,,,而她想的是完全斩断过去，与束缚她的因果彻底做个了断，从而开始新的生活。,而她想的是完全斬斷過去，與束縛她的因果徹底做個了斷，從而開始新的生活。,"But what she wanted was to sever her past entirely, to cut all ties that bound her, and start anew.",しかし彼女は過去を完全に断ち切り、彼女を縛りつける因果をばっさりと斬り捨て、新たな生活を始めたいというものだ。,Она же хотела сжечь все мосты и начать свою жизнь заново.
,,,,,,,,,,默认28,,,,听到她这个想法，让我有些欣喜，也有些担忧。,聽到她這個想法，讓我有些欣喜，也有些擔憂。,Hearing her thoughts left me both delighted and uneasy.,彼女の考えを聞き、嬉しさ半分、心配半分という思いだった。,"Выслушав её, я испытывал одновременно радость и тревогу."
,,,,,,,,,,默认29,,,,欣喜之处在于：她这想法估计也不会与旁人说，她专门对我说，必定是很信任我、很重视我。,欣喜之處在於：她這想法大概也不會與旁人說，她專門對我說，必定是很信任我、很重視我。,"The delight came from her trust—she likely wouldn’t share this with anyone else, so confiding in me meant she valued me deeply.",嬉しかったことは、彼女が自分の考えを、他の誰でもないこの私だけに話してくれたことだ。それは私を信用し、大切にしてくれているからだろう。,"Я радовался, потому что она доверилась мне - вряд ли она рассказала о побеге кому-то ещё, а значит, она доверяет и ценит меня."
,,,,,,,,,,默认30,,,,担忧之处在于：我会不会也是她有朝一日想要斩断的“过去”呢？,擔憂之處在於：我會不會也是她有朝一日想要斬斷的“過去”呢？,"The unease? Would I too become part of the ""past"" she someday wants to cut away?",心配なことは、彼女の断ちたい「過去」に、私も含まれるのかということだ。,"Тревожился я потому что... стану ли я одним из ""мостов"", который она когда-то сожжёт?"
,,,,,,,,,,默认31,,,,而且……,而且……,And...,そして……,К тому же...
,,,,,,,,,,默认32,,,,她的这个愿望，并不好实现。,她的這個願望，並不好實現。,Her wish isn’t easily granted.,彼女の願いは、実現させることが難しい。,Осуществить её желание не так уж и просто.
,,,,,,,,,,默认33,,,,别说是逃到一个没人认识她的地方了。,別說是逃到一個沒人認識她的地方了。,Forget escaping to anonymity—,誰も彼女を知らない場所まで逃げるなどもってのほかだ。,"Не говоря уже о том, чтобы сбежать туда, где её никто не знает..."
,,,,,,,,,,默认34,,,,对我们而言，只是逃出扬州，甚至是逃出泠音阁，就已经很难了……,對我們而言，只是逃出揚州，甚至是逃出泠音閣，就已經很難了……,"just fleeing Yangzhou, or even just <ruby=泠音>Lingyin</ruby> Pavilion, is nearly impossible for us...",私たちにとっては、揚州から逃げ出すどころか、泠音閣から逃げ出すだけでも至難の業だろう……,"Сбежать из Янчжоу, или хотя бы из ""Мелодичного павильона"" - уже весьма трудновыполнимая задача."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,苏怜烟,说话,,,,,,,默认35,,苏怜烟/24_苏怜烟_07,,[此事不可操之过急，我们尚需做一些准备。],[此事不可操之過急，我們尚需做一些準備。],"""This can’t be rushed; we still need preparations.""",「焦りは禁物よ。準備は万全に整えておかなきゃ」,"""Но спешить нельзя. Нам нужно подготовиться."""
,,苏怜烟,通常,,,,,,,,,,,
,,,,,,,,,,默认36,,,,正当我沉着脸胡思乱想之时，雁儿姐突然又开口了。,正當我沉著臉胡思亂想之時，雁兒姐突然又開口了。,"Just as I was sulking and lost in wild thoughts, <ruby=Swan Goose>Sister Yan</ruby> suddenly spoke up again.",あれこれ考え顔を曇らせていると、雁姉が再び口を開いた。,"Пока я угрюмо думал, сестричка Лебёдушка вдруг снова заговорила."
,,,,,,,,,,默认37,,,,她的话让我暂时放下了焦虑，而是扎根实际，仔细思考一下我们的“逃离计划”,她的話讓我暫時放下了焦慮，而是扎根實際，仔細思考一下我們的“逃離計劃”,"Her words momentarily eased my anxiety, grounding me in reality as I carefully reconsidered our ""escape plan"".",彼女の言葉で焦りが静まり、現状を踏まえた「脱走計画」をじっくりと考えることができるようになった。,"Её слова на мгновение рассеяли мою тревогу и вернули меня в реальность, чтобы обдумать план нашего побега."
,,方知宥,,,,,,,,默认38,,方知宥/24_方知宥_05,,[什么准备？],[什麼準備？],"""What preparations?""",「準備とは？」,"""Как именно?"""
,,,,,,,,,,默认39,,,,我问她。,我問她。,I asked her.,彼女に問う。,Спросил я.
,,苏怜烟,通常,,,,,,,默认40,,苏怜烟/24_苏怜烟_08,,[需得先备好路引。],[需得先備好路引。],"""We must first secure the Travel Pass.""",「<ruby=ろいん>路引</ruby>を用意しないと」,"""Нам нужна подорожная грамота."""
,,方知宥,,,,,,,,默认41,,方知宥/24_方知宥_06,,[路引啊……],[路引啊……],"""The Travel Pass...""",「路引か……」,"""Подорожная грамота..."""
,,,,,,,,,,默认42,,,,我沉吟片刻。这确是一桩麻烦事。,我沉吟片刻。這確是一樁麻煩事。,I paused in thought. This is indeed a troublesome issue.,ふむ、と唸る。これはなかなか厄介だ。,Я задумался. Достать её будет нелегко.
,,,,,,,,,,默认43,,,,路引是往返各地的通行证，听说在朝代初年，路引的审查非常严格。,路引是往返各地的通行證，聽說在朝代初年，路引的審查非常嚴格。,"The Travel Pass is a permit for interregional travel. I heard that in the dynasty's early years, Travel Pass inspections were extremely strict.",路引とは各地を行き来するための通行証だ。現代の王朝のはじめでは、路引の審査がとても厳しかったと聞く。,"Подорожная грамота - разрешение на передвижение между провинциями. Я слышал, что в первые года основания династии проверки были очень строгими."
,,,,,,,,,,默认44,,,,如今数百年过去，各州各县对于路引的管束略有松懈，但入城时偶尔也会抽查，一些客栈也会要求外地住客出示路引。,如今數百年過去，各州各縣對於路引的管束略有鬆懈，但入城時偶爾也會抽查，一些客棧也會要求外地住客出示路引。,"Now, centuries later, enforcement has relaxed somewhat across prefectures and counties, though random inspections still occur at city gates, and some inns require out-of-town guests to present their Travel Pass.",数百年経ち、各州各県の路引の管理はやや緩んだものの、町に入る時に抜き打ちで検査をされることもあり、一部の宿屋でも外からの客に路引を提示するよう求められることがある。,"Сейчас, века спустя, многие закрывают на это глаза. Тем не менее, у городских ворот всё ещё могут выборочно проверить грамоту, а некоторые трактиры по-прежнему могут её попросить."
,,,,,,,,,,默认45,,,,这么重要的物件，备上一份，自然才更稳妥。,這麼重要的物件，備上一份，自然才更穩妥。,"For something so important, having a backup would naturally be more secure.",それほど大事な代物なのだ。用意しておけば万全を期すことができる。,"Учитывая важность этого предмета, лучше, конечно, иметь его при себе."
,,方知宥,,,,,,,,默认46,,方知宥/24_方知宥_07,,[确实需要备妥。雁儿姐可有法子弄到？],[確實需要備妥。雁兒姐可有法子弄到？],"""It truly needs to be prepared properly. Do you have a way to get it?""",「確かにそれは必要だな。手に入れる当てはあるのか？」,"""Да, ты права. Подготовиться нам действительно стоит. Ты знаешь, где мы сможем получить эту грамоту?"""
,,,,,,,,,,默认47,,,,我询问道。,我詢問道。,I asked.,雁姉に訊く。,Спросил я.
,,,,,,,,,,默认48,,,,至于我说得“弄到”，那必然不是从正规的途径弄到。,至於我說得“弄到”，那必然不是從正規的途徑弄到。,"By ""get it"", I certainly didn’t mean through legitimate means.",「手に入れる」というのは、当然ながら正規の入手経路の話ではない。,"Под ""получить"", понятное дело, я не имел в виду легальные способы."
,,,,,,,,,,默认49,,,,雁儿姐如今归属于泠音阁，她若是想逃，自然不可能让泠音阁帮她去办路引。,雁兒姐如今歸屬於泠音閣，她若是想逃，自然不可能讓泠音閣幫她去辦路引。,"<ruby=Swan Goose>Sister Yan</ruby> now belongs to <ruby=泠音>Lingyin</ruby> Pavilion. If she wants to escape, she obviously can’t rely on them to arrange a travel pass for her.",雁姉は泠音閣に属する身だ。逃げたくとも、泠音閣が彼女のために手続きをしてくれるはずがない。,"Сестричка Лебёдушка - собственность ""Мелодичного павильона"". Если она хочет сбежать, то они, понятное дело, подорожную грамоту не выдадут."
,,苏怜烟,疑惑,,,,,,,默认50,,苏怜烟/24_苏怜烟_09,,[出逃之事，至今我只对你一人提过。许多事……尚在斟酌。],[出逃之事，至今我只對你一人提過。許多事……尚在斟酌。],"""So far, I’ve only mentioned the escape plan to you. Many things... are still under consideration.""",「逃亡の件を話したのは、まだあなた一人だけ。ほとんどのことは……まだ考えているところ」,"""Пока про побег я рассказала только тебе. Многое... ещё надо взвесить как следует."""
,,,,,,,,,,默认51,,,,她叹了一口气，手指摩挲桌案，似乎有些忧虑。,她嘆了一口氣，手指摩挲桌案，似乎有些憂慮。,"She sighed, her fingers tracing the edge of the table, seemingly troubled.",溜息をつきながら、憂慮するようにぐるぐると指で卓を撫でる彼女。,"Вздохнув, она провела пальцами по краю стола. Её что-то волновало."
,,方知宥,,,,,,,,默认52,,方知宥/24_方知宥_08,,[那交由我去办吧！如今查验不严，应该有办法能弄到。],[那交由我去辦吧！如今查驗不嚴，應該有辦法能弄到。],"""Then leave it to me to handle! Nowadays, inspections aren't strict; there should be a way to obtain it.""",「なら私に任せてくれ！今は検査も厳しくないし、何とか手に入れられると思う」,"""Тогда положись на меня! Сейчас проверки не такие строгие, так что как-нибудь уж можно будет получить грамоту."""
,,,,,,,,,,默认53,,,,我略一思忖，终是定下心，将此事应承下来。,我略一思忖，終是定下心，將此事應承下來。,"After brief consideration, I finally settled my mind and agreed to handle this matter.",私は少し考えた末に決心し、この件を引き受けることにした。,"Подумав, я собрался с мыслями и согласился взять это на себя."
,,,,,,,,,,默认54,,,,虽说我的人脉有些单薄，但总比雁儿姐要更方便做事。,雖說我的人脈有些單薄，但總比雁兒姐要更方便做事。,"Though my connections are limited, they're more useful than <ruby=Swan Goose>Sister Yan</ruby>'s for getting things done.",人脈があるとは言いがたいが、雁姉よりも都合はつけやすい。,"Связи у меня не очень, но всё же лучше, чем у сестрички Лебёдушки."
,,,,,,,,,,默认55,,,,买通一个小官吏，让他去办雁儿姐的路引……嗯，此事或许可以问问王生，又或是私塾中认识的其他几位旧友……,買通一個小官吏，讓他去辦雁兒姐的路引……嗯，此事或許可以問問王生，又或是私塾中認識的其他幾位舊友……,"Bribing a minor official to arrange <ruby=Swan Goose>Sister Yan</ruby>'s travel pass... hmm, perhaps I could ask Scholar Wang or other old friends from the private school about this...",小役人を買収して雁姉の路引を用意させよう……ふむ、この件は王書生に尋ねてみるか、あるいは塾の旧友の誰かに訊いてみてもいいな……,"Чтобы получить подорожную грамоту для сестрички Лебёдушки, надо будет подкупить мелкого чиновника... Хм-м, надо будет спросить учёного Вана или старых друзей из частной школы..."
,,苏怜烟,说话,,,,,,,默认56,,苏怜烟/24_苏怜烟_10,,[嗯，若实在难办，也不必勉强，我再另想他法。],[嗯，若實在難辦，也不必勉強，我再另想他法。],"""Well, if it's truly too difficult, don't force it. I'll find another way.""",「わかった。厳しそうなら無理はしないで。他の方法を考えるから」,"""Если будет слишком трудно - не перетруждайся. Я потом сама что-нибудь придумаю тогда."""
,,方知宥,,,,,,,,默认57,,方知宥/24_方知宥_09,,[好……不过……雁儿姐，路引暂且放一旁，究竟该如何离开泠音阁，你可有打算？],[好……不過……雁兒姐，路引暫且放一旁，究竟該如何離開泠音閣，你可有打算？],"""Alright... but... <ruby=Swan Goose>Sister Yan</ruby>, leaving aside the travel pass for now, do you have any plan for actually leaving <ruby=泠音>Lingyin</ruby> Pavilion?""",「ああ……ところで雁姉、路引のことはさておき、泠音閣から逃げ出す算段はあるのか？」,"""Хорошо... но... помимо подорожной грамоты - а сам план, как в принципе сбежать из 'Мелодичного павильона', у тебя есть?"""
,,,,,,,,,,默认58,,,,我想到关键处，出声问她。,我想到關鍵處，出聲問她。,"When I reached the crucial point, I asked her aloud.",彼女に肝心なことを問う。,Спросил я её о самом ключевом моменте.
,,苏怜烟,疑惑,,,,,,,默认59,,苏怜烟/24_苏怜烟_11,,[“若我直说要出阁，景姨必定会阻拦……不过，我确实想了一个办法，可以使我暂离此处，而她也无从阻止。],[“若我直說要出閣，景姨必定會阻攔……不過，我確實想了一個辦法，可以使我暫離此處，而她也無從阻止。],"""If I say outright that I want to leave the pavilion, Aunt Jing will surely stop me... But I’ve actually thought of a way to slip away temporarily without her being able to stop me.""",「店を辞めると言えば、景ばあが必ず邪魔してくるはず……でも一つだけ、一時的にここを離れられるし、景ばあにも止められない方法を思いついたわ」,"""Если я прямо скажу, что хочу сбежать из павильона, тётушка Цзин точно остановит меня... Но, честно говоря,я уже придумала способ ненадолго отлучиться отсюда без её ведома."""
,,方知宥,,,,,,,,默认60,,方知宥/24_方知宥_10,,[哦？],[哦？],"""Oh?""",「と言うと？」,"""А?"""
,,,,,,,,,,默认61,,,,我很好奇雁儿姐想到了什么办法。,我很好奇雁兒姐想到了什麼辦法。,I was very curious about what plan <ruby=Swan Goose>Sister Yan</ruby> had devised.,雁姉が何を考えているのか気になる。,"Мне стало очень любопытно, какой же способ она придумала."
,,苏怜烟,微笑,,,,,,,默认62,,苏怜烟/24_苏怜烟_12,,[知宥可知“画舫”？],[知宥可知“畫舫”？],"""Zhiyou, have you heard of the ""Painted Pleasure Boat""?""",「<ruby=屋形船>画舫</ruby>は知ってるわよね？」,"""Чжию, ты же знаешь про расписную прогулочную лодку?"""
,,,,,,,,,,默认63,,,,雁儿姐突然问道。,雁兒姐突然問道。,<ruby=Swan Goose>Sister Yan</ruby> asked suddenly.,唐突に、そんな質問を投げかけてきた。,Внезапно спросила она.
,,方知宥,,,,,,,,默认64,,方知宥/24_方知宥_11,,[知道，我先前曾在桥上见过你乘画舫出游，阵仗很大……莫非……雁儿姐想借乘画舫之机，偷偷找机会溜走？],[知道，我先前曾在橋上見過你乘畫舫出遊，陣仗很大……莫非……雁兒姐想借乘畫舫之機，偷偷找機會溜走？],"""I have. I once saw you riding the Painted Pleasure Boat from the bridge—it was quite a spectacle... Could it be... <ruby=Swan Goose>Sister Yan</ruby>, are you planning to sneak away during the boat ride?""",「もちろんだ。君が画舫に乗って遊覧に出かけていたのを橋で見たからな。立派な列だった……って、まさか……画舫の機会を利用して、隙をついて抜け出すつもりか？」,"""Ну да. Я видел тебя с моста, как ты плыла на ней... очень красиво было. Погоди... ты хочешь сбежать во время того, как будешь плыть на лодке?"""
,,,,,,,,,,默认65,,,,我顿时明白了她的意思。,我頓時明白了她的意思。,I immediately grasped her meaning.,すぐに合点がいった。,Я сразу же понял её замысел.
,,苏怜烟,通常,,,,,,,默认66,,苏怜烟/24_苏怜烟_13,,[正是……只不过，不能像上回那般阵仗，须得由你我自行安排。],[正是……只不過，不能選上回那般陣仗，須得由你我自行安排。],"""That's right... but we can't use the same grand setup as last time. We'll have to arrange it ourselves.""",「そういうこと……ただ、この前のような行列は避けて、自分たちで手配しないといけない」,"""Угу. Но мы не можем выбирать для побега такое же пышное празднество, как в прошлый раз. Нам придётся организовать всё своими руками."""
,,方知宥,,,,,,,,默认67,,方知宥/24_方知宥_12,,[自行安排？],[自行安排？],"""Arrange it ourselves?""",「自分たちで？」,"""Своими руками?"""
,,,,,,,,,,默认68,,,,我仍有些不解。,我仍有些不解。,I'm still a bit confused.,まだ全容が理解できない。,Удивился я.
,,苏怜烟,疑惑,,,,,,,默认69,,苏怜烟/24_苏怜烟_14,,[上回是泠音阁安排的巡演，仆役数十，眼目众多，在这么多人的注视下，我根本无法找到机会逃走。],[上回是泠音閣安排的巡演，僕役數十，眼目眾多，在這麼多人的注視下，我根本無法找到機會逃走。],"""Last time, <ruby=泠音>Lingyin</ruby> Pavilion arranged the tour with dozens of servants and too many eyes watching. Under so much scrutiny, I couldn’t find a chance to escape.""",「この間のは泠音閣が段取りした興行だから、使用人も衆目もかなりのものだった。あんなに多くに見られてちゃ、逃げ出す隙もないわ」,"""В прошлый раз 'Мелодичный павильон' организовал празднество с десятками слуг, за мной следило очень много людей - у меня не было и шанса, чтобы сбежать."""
,,苏怜烟,说话,,,,,,,默认70,,苏怜烟/24_苏怜烟_15,,[不过，阁中有一个规矩，若是有贵客愿意出一些银子租画舫，可以借“私演”之名，邀我随舫同行两个时辰。],[不過，閣中有一個規矩，若是有貴客願意出一些銀子租畫舫，可以借“私演”之名，邀我隨舫同行兩個時辰。],"""However, the pavilion has a rule: if a distinguished guests pays some taels to rent a Painted Pleasure Boat, they can invite me for a four-hour ""private performance"" on board.""",「でも店の決まりで、画舫を出してくれる上客がいれば、『私的な上演』という名目で、二刻だけ私を同乗させることができるの」,"""Но в павильоне есть правило: если почётный гость арендует расписную прогулочную лодку, то он может пригласить меня на 'частное представление' на борту длиною в две стражи."""
