#SHEET_NAME,忆-第八回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,,方知宥,,,,,,,,默认6,,方知宥/17_方知宥_02,,[我本就不打算考举人。],[我本就不打算考舉人。],"""I never intended to take the imperial exams anyway.""",「そもそも科挙を受けるつもりはないよ」,"""Да я же и так не собирался идти на степень цзюйжэня.""",
,BgEvent,王生茶馆2,,,,,,,,,,,,
,,王生少年,,,,,,,,默认7,,王生/17_王生_04,,[它还会让你贪恋风月，延误婚事……你啊！何不将花在青楼的银钱，用来明媒正娶？],[它還會讓你貪戀風月，延誤婚事……你啊！何不將花在青樓的銀錢，用來明媒正娶？],"""It’ll only make you indulge in pleasure and delay marriage... You! Why not use the money spent at the pleasure house for a proper wedding?""",「だが色恋に溺れさせて婚期を逃すことにもなるんだぞ……悪いことは言わん。青楼に突っ込むくらいなら、正妻を娶るために使ったらどうだ？」,"""Ты так ещё и из 'весёлых кварталов' совсем вылезать не будешь, с женитьбой проблемы будут... Послушай! Может, уж лучше на это серебро, что ты хочешь там потратить, подыщешь себе достойную жену?""",
,,方知宥,,,,,,,,默认8,,方知宥/17_方知宥_03,,[我无父无母，不急婚事……再说了，我立志终生写书，在许多人眼中，独身无正业，本就不是良配。],[我無父無母，不急婚事……再說了，我立志終生寫書，在許多人眼中，獨身無正業，本就不是良配。],"""I’m parentless, so marriage isn’t urgent... Besides, I’ve vowed to write books for my whole life. To most, a single man without a steady trade is no catch.""",「両親もいないし結婚を焦っちゃいない……それに私は本を書いて暮らすと決めたんだ。まともな人から見て、独身で仕事もしていない私など、良き夫にはなれないと思うだろうさ……」,"""Родителей у меня нет, так что с браком я не тороплюсь... К тому же, я же собираюсь жизнь посвятить книгописательству - для большинства людей такой одиночка, занимающийся не пойми чем, вряд ли будет считаться завидным женихом.""",
,Se,轻拍桌子,,,,,,,,,,,,
,BgEvent,王生茶馆2,,,,,1,,,,,,,
,,王生少年,,,,,,,,默认9,,王生/17_王生_05,,[唉！你这……唉！真叫你说服我啦！这么一看，你可真是去青楼的天选之材啊！],[你這……唉！真叫你說服我啦！這麼一看，你可真是去青樓的天選之材啊！],"""You... Ah! You’ve won me over! At this rate, you’re practically tailor-made for pleasure house visits!""",「おまえというやつは……ああまったく！俺を言い負かすとは！見たところ、青楼の才があるようだな！」,"""Ну ты... Эх! Ты всё-таки убедил меня! К тому же, если так посмотреть, ты же просто словно создан для посещения 'зелёных теремов'!""",
,CharacterOff,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认10,,方知宥/17_方知宥_04,,[呃，你这话听着怎么怪怪的……],[呃，你這話聽著怎麼怪怪的……],"""Huh, that sounds weird coming from you...""",「うっ、そう言われると何だか変な感じだな……」,"""Эм, звучит как-то не очень, конечно...""",
,,,,,,,,,,默认11,,,,王生瞪大双眼，一拍桌案，竟出声赞叹。,王生瞪大雙眼，一拍桌案，竟出聲讚嘆。,"Scholar Wang’s eyes widened as he slapped the table, even letting out an admiring sigh.",王が目を見開いて、ばんと卓を叩くと、感嘆したように言った。,"Учёный Ван, широко раскрыв глаза и хлопнув ладонью по столу, вдруг воскликнул с восхищением.",
,,,,,,,,,,默认12,,,,我顿觉几分尴尬，幸得此时茶馆人稀，未惹旁人注目。,我頓覺幾分尷尬，幸得此時茶館人稀，未惹旁人注目。,"I suddenly felt somewhat embarrassed, but fortunately, the teahouse was nearly empty at the time, avoiding any unwanted attention.",私は小っ恥ずかしかったが、幸い茶館にはあまり人がおらず、周囲の注目を集めずに済んだ。,"Меня это слегка смутило - благо, в чайной в эту пору людей было мало, и мы не привлекли к себе излишнего внимания.",
,,方知宥,,,,,,,,默认13,,方知宥/17_方知宥_05,,[放心吧，王兄，我自有分寸，不会沉溺其中……其实我去青楼，也主要是为了写书。],[放心吧，王兄，我自有分寸，不會沉溺其中……其實我去青樓，也主要是為了寫書。],"""Rest assured, Brother Wang, I know my limits—I won't overindulge... Truth be told, my pleasure house visits are mainly for literary research.""",「安心してくれ、王。節度は弁えてるから、のめり込むことはないよ……正直、青楼に行くのだって、本を書くためだ」,"""Не беспокойся, братец Ван - я человек сознательный, чересчур увлекаться этим делом не буду... Вообще, на самом деле я хочу пойти в 'зелёный терем' в первую очередь ради своей книги.""",
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认14,,,,我缓缓对王生说道，同时低头轻呷一口清茶。,我緩緩對王生說道，同時低頭輕呷一口清茶。,"I said to Scholar Wang deliberately, lowering my head to sip the pale tea.",ゆっくりと王にそう言いながら、顔を下げて軽く茶をすすった。,"Не спеша поведал я учёному Вану, попутно отхлёбывая чаю.",
,,,,,,,,,,默认15,,,,实则，我并未全然向王生坦白。,實則，我並未全然向王生坦白。,"Truthfully, I hadn't been completely forthright with Scholar Wang.",実のところ、王に全てを打ち明けたわけではない。,"Конечно, я не рассказал ему всё начистоту.",
,,,,,,,,,,默认16,,,,我之所以去青楼，有一半的原因确实是为了写书。,我之所以去青樓，有一半的原因確實是為了寫書。,Half my reason for visiting pleasure houses was genuinely for book research.,青楼に行く理由の半分は、確かに本を書くためだ。,"Ведь книгописательство - лишь одна из причин, по которой я собирался пойти туда.",
,,,,,,,,,,默认17,,,,我欲多经世事，看尽人间百态。,我欲多經世事，看盡人間百態。,I sought broader worldly experience—to observe all facets of human existence.,もっと世のことを、人のことを知っておきたい。,"Мне и правда хотелось вкусить побольше светской жизни, посмотреть на многообразие людского мира.",
,,,,,,,,,,默认18,,,,我认为，大概只有这样，才能让我明白究竟想写什么样的书。,我認為，大概只有這樣，才能讓我明白究竟想寫什麼樣的書。,I believed this was perhaps the only way to truly discover what kind of book I wished to write.,そうしなければ、どんな物語を書きたいか自分でもわからないだろうと思ったからだ。,"По моему мнению, только так, пожалуй, мне наконец удастся понять, что за книгу мне стоит писать.",
,,,,,,,,,,默认19,,,,而另一半的原因，是因为我想见雁儿姐。,而另一半的原因，是因為我想見雁兒姐。,The other half of the reason was that I wanted to see <ruby=Swan Goose>Sister Yan</ruby>.,残る半分の理由は……雁姉に会いたいからだ。,Ну а другой причиной было желание повидать сестричку Лебёдушку.,
,,,,,,,,,,默认20,,,,她是我小时候就认识的故人，也是如今泠音阁的头牌花魁。,她是我小時候就認識的故人，也是如今泠音閣的頭牌花魁。,"She's an old acquaintance from my childhood, and now serves as the top courtesan at <ruby=泠音>Lingyin</ruby> Pavilion.",幼い頃に知り合った旧知の間柄であり、今は<ruby=れんいんかく>泠音閣</ruby>の花魁。,"Мою давнюю подругу детства, что сейчас стала ""девушкой первого ранга"" в ""Мелодичном павильоне"".",
,,,,,,,,,,默认21,,,,我想见她。,我想見她。,I want to see her.,彼女に会いたい。,Я хотел её увидеть.,
,,,,,,,,,,默认22,,,,至于缘由，连我自己也未能想得明白。,至於緣由，連我自己也未能想得明白。,"As for why, even I haven't quite figured it out myself.",そうまでして会いたい理由は、自分にもわからない。,С какой целью - этого я сам не мог точно сказать.,
,,,,,,,,,,默认23,,,,我不想告诉王生这事，是怕突然跟他说出来……会让他觉得我只是见色起意的好色之徒。,我不想告訴王生這事，是怕突然跟他說出來……會讓他覺得我只是見色起意的好色之徒。,"I don't want to tell Scholar Wang about this, because I'm afraid that suddenly bringing it up... would make him think I'm just a lustful person who's attracted to her looks.",王にこのことを伝えるつもりはない。唐突に言ったところで……不埒な好色家だと思われるからだ。,"Мне не хотелось говорить про это учёному Вану - вдруг, если я ему об этом скажу... то он посчитает, что я всего лишь развратник, воспылавший похотью от женской красоты.",
,,,,,,,,,,默认24,,,,呃，不过……雁儿姐长大后，确是极美……,呃，不過……雁兒姐長大後，確是極美……,"Though... it's true, <ruby=Swan Goose>Sister Yan</ruby> has grown into exceptional beauty...",おっと、しかし……大きくなった雁姉は、確かにすごく美人だった……,"Хм, хотя... Выросшая сестричка Лебёдушка и правда невероятно красива.",
,,,,,,,,,,默认25,,,,我是否也确乎算是有几分“见色起意”？,我是否也確乎算是有幾分“見色起意”？,"Does this mean I'm somewhat guilty of ""being swayed by appearances""?",微塵も「不埒」でないと言い切れるだろうか？,"Может быть, тут и правда отчасти даёт о себе знать похоть?",
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,方知宥,,,,,,,,默认26,,,,[……],[……],"""...""",「……」,"""...""",
,,,,,,,,,,默认27,,,,想到此处，我不禁有些茫然。,想到此處，我不禁有些茫然。,This thought left me feeling rather unsettled.,そこまで考えたところで、少し呆然としてしまった。,При этой мысли я невольно растерялся.,
,,,,,,,,,,默认28,,,,应当不是吧？,應當不是吧？,"Probably not, right?",まさか。そんなわけがあるまい。,"Это же не так, наверное?",
,,,,,,,,,,默认29,,,,坦率说，我对她并无甚么污秽念头。,坦率說，我對她並無什麼汙穢念頭。,"To be honest, I harbor no impure thoughts about her.",率直に言って、彼女にそんな汚らわしい考えは抱いていない。,"Говоря откровенно, у меня вовсе не было по поводу неё каких-то грязных мыслей.",
,,,,,,,,,,默认30,,,,可若不是，那又是甚么呢……,可若不是，那又是什麼呢……,"But if not, then what is it...?",だが、そうでなければ、この思いは何なのだ……,"Но если дело в другом, то в чём же тогда?...",
,,,,,,,,,,默认31,,,,……,……,...,……,...,
,BgEvent,王生茶馆6,,,,,,,,,,,,
,,王生少年,,,,,,,,默认32,,王生/17_王生_06,,[我懂，哈哈哈，我懂！知宥不必多言，我亦知你涉足风月之地不是为了纵欲，是与为兄一般……高风亮节的！],[我懂，哈哈哈，我懂！知宥不必多言，我亦知你涉足風月之地不是為了縱慾，是與為兄一般……高風亮節的！],"""I understand, haha, I understand! No need to explain, Zhiyou—I know your visits to the pleasure house aren't for indulgence. Like me here, you're pursuing nobler purposes!""",「わかってる、はははは、わかってるとも！みなまで言うな。色町に繰り出すのが肉欲のためでなく、この俺と同じように崇高な目的であることは重々俺もわかってる！」,"""Понял, ха-ха-ха, я понял! Можешь обойтись без лишних слов, Чжию - я сам понимаю, что ты ходишь в подобные места вовсе не ради удовлетворения похоти, а, как и твой старший товарищ - во имя куда более возвышенных целей!""",
,,王生少年,,,,,,,,默认33,,王生/17_王生_07,,[才子诗人出入风月场，怎能叫“嫖”？合该称作“采风”！……说吧，知宥打算何时去？为兄作为过来人，陪你同去采一采！],[才子詩人出入風月場，怎能叫“嫖”？合該稱作“採風”！……說吧，知宥打算何時去？為兄作為過來人，陪你同去採一采！],"""When scholars and poets visit the pleasure houses, how could anyone call that ""whoring""?"" It should properly be termed ""field research""!... So, Zhiyou, when are you planning to go? As an experienced hand, I'll join you for some fieldwork!""",「才子詩人の類が色町に繰り出すのを『女を買う』などと呼べるものか！『取材』と言うべきだろう！……で、いつ行く？経験者として、共に取材に行こうじゃないか！」,"""Когда талантливые сочинители и поэты ходят по весёлым кварталам - разве можно назвать это 'ходить по бабам'? Нет - это 'сбор вдохновения!'... А когда ты вообще туда собираешься? Твой старший товарищ, как человек опытный, составит тебе компанию в этом 'сборе'!""",
,,,,,,,,,,默认34,,,,王生拍了拍我的肩膀，一副很热情的样子。,王生拍了拍我的肩膀，一副很熱情的樣子。,Scholar Wang gave my shoulder an enthusiastic pat.,王が情熱的にばんばんと私の背中を叩いた。,"Учёный Ван с видом, полным энтузиазма, похлопал меня по плечу.",
,,方知宥,,,,,,,,默认35,,方知宥/17_方知宥_06,,[王兄以往可曾去过青楼？],[王兄以往可曾去過青樓？],"""Brother Wang, have you ever visited a pleasure house before?""",「王は青楼に行ったことがあるのかい？」,"""А ты что, уже бывал в 'зелёных теремах', братец Ван?""",
,,,,,,,,,,默认36,,,,我微微一愣，他刚才这番话说的，仿佛他正是一位青楼高手。,我微微一愣，他剛才這番話說的，彷彿他正是一位青樓高手。,I was slightly taken aback—the way he spoke just now made him sound like a seasoned pleasure house-goer.,呆気にとられた。彼の口ぶりからすると、まるで青楼の達人だ。,"Для меня это стало некоторой неожиданностью - ведь он говорил так, словном сам был знатоком в этой области.",
,BgEvent,王生茶馆1,,,,,,,,,,,,
,,王生少年,,,,,,,,默认37,,王生/17_王生_08,,[自然去过一两回。后来觉得花费甚巨，反不如勾栏悠闲自在，便不再去了。],[自然去過一兩回。後來覺得花費甚巨，反不如勾欄悠閒自在，便不再去了。],"""I’ve been a couple of times. But the costs were exorbitant, and it wasn’t as relaxing as the brothel, so I quit going.""",「まあ、二三度はな。だが金がかかりすぎるし、勾欄ほど気楽な場所でもない。何かと窮屈でな、それきりだ」,"""Конечно, пару раз ходил туда. Но потом решил, что это уж чересчур затратно, и при этом там ещё и не так вольготно, как в 'изогнутой балюстраде' - вот и не ходил больше.""",
,,方知宥,,,,,,,,默认38,,方知宥/17_方知宥_07,,[嗯……花费昂贵我能明白，“不悠闲”又是从何说起？],[嗯……花費昂貴我能明白，“不悠閒”又是從何說起？],"""Hmm... I get the expense, but why ""not relaxing""?""",「ふむ……金がかかるのはわかるが、『窮屈』とはどういうことだ？」,"""Хм... Про то, что дорого - это мне понятно, но что ты имеешь в виду под 'не так вольготно'?""",
,BgEvent,王生茶馆6,,,,,1,,,,,,,
,,王生少年,,,,,,,,默认39,,王生/17_王生_09,,[哈哈，你去一次便知。],[哈哈，你去一次便知。],"""Haha, you’ll understand once you try it.""",「はっはっは、一度行けばわかるさ」,"""Ха-ха, как побываешь там - поймёшь.""",
,CharacterOff,,,,,,1,,,,,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,Bgm,吟诗作对,,,,3,3,,,,,,,,,,,
,FadeOut,black,,wipe_up,,,1,,,,,,,,,,,
,Bg,天空夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_down,,,1,,,,,,,,,,,
,,,,,,,,,,默认40,,,,……,……,...,……,...,
,,,,,,,,,,默认41,,,,与王生在茶馆小坐后，我们便一同前往二十四桥。,與王生在茶館小坐後，我們便一同前往二十四橋。,"After a brief stop at the teahouse with Scholar Wang, we made our way to the Twenty-Four Bridges.",しばらく王書生と茶館で一服した後、二人で二十四橋へと向かうことにした。,"Посидев немного в чайной, мы с учёным Ваном вместе направились к Двадцать четвёртому мосту.",
,,,,,,,,,,默认42,,,,经柳巷时，我特意领着王生，绕开了平日惯走的近路。,經柳巷時，我特意領著王生，繞開了平日慣走的近路。,"As we passed Willow Lane, I intentionally steered Scholar Wang away from our usual shortcut.",柳巷を抜ける時、私は王を連れたまま、あえて普段通っている近道を避けた。,"Когда мы проходили через ""Ивовый переулок"", я специально повёл учёного Вана в обход обычной короткой дороги.",
,,,,,,,,,,默认43,,,,我不愿被林翩翩瞧见，亦不想见她立于街边，亲眼目睹她对过往的男子讨好献媚的模样。,我不願被林翩翩看見，亦不想見她立於街邊，親眼目睹她對過往的男子討好獻媚的模樣。,"I didn't want Lin Pianpian to see me, nor did I want to see her standing by the roadside, watching her flirt and fawn over passing men.",<ruby=りんへんへん>林翩翩</ruby>に見られたくなかったし、彼女が街角に立って、通りすがりの男に媚びるような視線を送る姿も見たくなかった。,"Мне не хотелось попадаться на глаза Линь Пяньпянь, да и не было желания видеть собственными глазами, как она стоит на улице и завлекает к себе проходящих мужчин.",
,,,,,,,,,,默认44,,,,这念头忽生，令我自己也觉得奇妙。,這念頭忽生，令我自己也覺得奇妙。,This sudden thought struck me as peculiar.,そんな風に考えてしまうことが、自分でも不思議だった。,"Мне самому было удивительно, откуда у меня вдруг возникли такие мысли.",
,,,,,,,,,,默认45,,,,明明我与她并无特别瓜葛，至多算是朋友……可瞒着她去青楼，竟令我生出些许负罪之感。,明明我與她並無特別瓜葛，至多算是朋友……可瞞著她去青樓，竟令我生出些許負罪之感。,"Clearly, we had no special connection—at most we were friends... Yet visiting a pleasure house behind her back filled me with faint guilt.",特に深い関係なわけでもなく、せいぜい友人といったところなのに……彼女に内緒で青楼に行くことが、どこか後ろめたく感じられた。,"Мы же с ней отнюдь не были особенно близки - даже друзьями нас можно назвать было с натяжкой... Однако то, что я тайком от неё шёл в ""зелёный терем"", рождало в моём сердце некое чувство вины.",
,,,,,,,,,,默认46,,,,我想，这大抵是因我不愿破坏她心中我的形象。,我想，這大抵是因我不願破壞她心中我的形象。,I suppose it was mostly because I didn't want to tarnish her image of me.,おそらく、彼女の中の私の印象を崩したくないからだろう。,"Возможно, это было потому, что я не хотел рушить тот образ, что сложился у неё в сердце насчёт меня.",
,,,,,,,,,,默认47,,,,以及，破坏她在我心中的印象。,以及，破壞她在我心中的印象。,Or to tarnish my image of her.,そして、私の中の彼女の印象もまた崩したくない。,"Как и образ, сложившийся в моём сердце насчёт неё.",
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认48,,,,……,……,...,……,...,
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,青楼中庭繁华夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,,,,,,,,,默认49,,,,行过二十四桥，我未去刘婆子所在的“醉春院”，而是去了左近一家名唤“碧竹坊”的青楼。,行過二十四橋，我未去劉婆子所在的“醉春院”，而是去了左近一家名喚“碧竹坊”的青樓。,"After crossing the Twenty-Four Bridges, I skipped Granny Liu's ""Spring Bliss Courtyard"" and went instead to a nearby establishment called ""Jade Bamboo Hall"".",二十四橋を越え、私は劉ばあのいる「<ruby=すいしゅんいん>酔春院</ruby>」には行かず、その近くにある「<ruby=へきちくぼう>碧竹坊</ruby>」という青楼に向かった。,"Прибыв к Двадцать четвёртому мосту, я не стал отправляться в ""Двор хмельной весны"" к старухе Лю, а вместо этого пошёл в находившуюся неподалёку ""Палату изумрудного бамбука"".",
,,,,,,,,,,默认50,,,,刘婆子曾说过，名字以“坊”结尾的，皆是二等青楼。,劉婆子曾說過，名字以“坊”結尾的，皆是二等青樓。,"Granny Liu once said that pleasure houses with names ending in ""Hall"" were all second-rate.",劉ばあいわく、「坊」で終わる店は、みな二等の青楼だそうだ。,"Как тогда говорила старуха Лю - те ""зелёные терема"", что называются ""палатами"", относятся ко второму классу.",
,,,,,,,,,,默认51,,,,果然，外观上，此处比上回的“醉春院”更显气派。,果然，外觀上，此處比上回的“醉春院”更顯氣派。,"Indeed, this place looked far more impressive than the ""Spring Bliss Courtyard"" I'd visited last time.",さすが、以前に行った「酔春院」よりも立派なのが外観から伝わってくる。,"И действительно - на вид это место оказалось повнушительнее, чем ""Двор хмельной весны"".",
,,,,,,,,,,默认52,,,,“碧竹坊”不仅院落宽敞，更是朱门雕镂竹纹，檐下悬着素白纱灯，别有一番清雅。,“碧竹坊”不僅院落寬敞，更是朱門雕鏤竹紋，簷下懸著素白紗燈，別有一番清雅。,"""Jade Bamboo Hall"" boasted spacious courtyards, vermilion gates intricately carved with bamboo motifs, and plain white silk lanterns swaying under the eaves—all exuding refined elegance.",「碧竹坊」は広々とした庭園だけでない。朱塗りの門には竹の彫刻が施され、屋根の下には白紗の提灯が下げられ、いっとう雅な雰囲気を纏っていた。,"Помимо того, что ""Палата изумрудного бамбука"" занимала немалую территорию, здесь на алых воротах была резьба в виде бамбука, под карнизом крыши висели фонари, обтянутые белоснежной кисеёй, что создавало атмосферу особенного изящества.",
,,,,,,,,,,默认53,,,,此时已近酉时，天光初暗，多家青楼才刚开门迎客。,此時已近酉時，天光初暗，多家青樓才剛開門迎客。,"By now it was nearly dusk, the sky just darkening, as many pleasure houses began opening their doors to welcome guests.",既に酉の刻も近く、空は暗くなり始めており、青楼が門を開いて接客を始めていた。,"Уже наступила <ruby=17:00-19:00>стража Петуха</ruby>, стало смеркаться, а многие ""зелёные терема"" как раз начинали открывать двери для гостей.",
,,,,,,,,,,默认54,,,,“碧竹坊”大门敞开，院内隐约传来丝竹管弦之声。,“碧竹坊”大門敞開，院內隱約傳來絲竹管弦之聲。,"The gates of ""Jade Bamboo Hall"" stood wide open, the faint melody of strings and pipes drifting from within.",「碧竹坊」も門を開け放ち、中から楽器の音色が微かに聞こえてきた。,"Ворота ""Палаты изумрудного бамбука"" были распахнуты настежь, и изнутри доносились приглушённые звуки игры на музыкальных инструментах.",
,,,,,,,,,,默认55,,,,我与王生方踏入其中，很快便有一位身着青衫的小厮迎上前来。,我與王生方踏入其中，很快便有一位身著青衫的小廝迎上前來。,No sooner had Scholar Wang and I stepped inside than a Servant Boy in a blue robe hurried over to greet us.,私と王書生がそこに立ち入ると、すぐに青い服の丁稚が迎えに上がった。,"Когда мы с учёным Ваном ступили внутрь, нас тут же вышел приветствовать мальчик-слуга в простой чёрной одежде.",
,,碧竹坊小厮,,,,,,,,默认56,,碧竹坊小厮/17_碧竹坊小厮_01,,[二位公子，可是初来乍到？］,[二位公子，可是新來乍到？］,"""Young Masters, is this your first time here?""",「旦那さま方、うちは初めてでしょうか？」,"""Юные вельможи, это вы тут впервые?""",
,,王生少年,,,,,,,,默认57,,王生/17_王生_10,,[我等是二十四桥常客啦，今夜坊中可有人包场设宴？],[我等是二十四橋常客啦，今夜坊中可有人包場設宴？],"""We're regulars at the Twenty-Four Bridges. Is anyone hosting a private banquet here tonight?""",「俺達は二十四橋の常連なんだが、今夜は貸し切りか？」,"""Мы у Двадцать четвёртого моста частые гости. Сегодня у Вас в 'палате' никто не занимал места для пира?""",
,,碧竹坊小厮,,,,,,,,默认58,,碧竹坊小厮/17_碧竹坊小厮_02,,[不曾有的，今夜皆是散客，正好还有两个空位，席位费一人三两银子。],[不曾有的，今夜皆是散客，正好還有兩個空位，席位費一人三兩銀子。],"""Not tonight—just walk-in guests. We happen to have two seats left at three taels per person.""",「いいえ、今夜は<ruby=・・>ばら</ruby>ですよ。ちょうど空席が二つあります。席料はおひとり様三両です」,"""Нет, сегодня у нас только отдельные гости, и как раз имеется два свободных места. По три таэля с человека.""",
,,王生少年,微笑,,,,,,,默认59,,王生/17_王生_11,,[好啊，我们两个人，一共六两。],[好啊，我們兩個人，一共六兩。],"""Splendid. Six taels for the two of us then.""",「わかった。二人で六両だな」,"""Хорошо, нас двое, так что получается шесть.""",
,,,,,,,,,,默认60,,,,王生自怀中取出六两银，递向小厮。,王生自懷中取出六兩銀，遞向小廝。,Scholar Wang produced six taels from his robe and handed them to the Servant Boy.,王が懐から六両分の銀を出し、丁稚に差し出す。,Учёный Ван извлёк из-за пазухи шесть таэлей и протянул слуге.,
,,方知宥,,,,,,,,默认61,,方知宥/17_方知宥_08,,[王兄，我自己付便好……],[王兄，我自己付便好……],"""Brother Wang, I can cover my own share...""",「いやいや、ここは私が……」,"""Братец Ван, да давай уж я за себя...""",
,,,,,,,,,,默认62,,,,我按住他手臂，不愿他破费。,我按住他手臂，不願他破費。,"I gripped his arm, unwilling to let him pay.",彼に無駄遣いはさせまいと、その手を押さえる。,"Остановил я его руку, не желая быть за его счёт.",
,,王生少年,使眼色,,,,,,,默认63,,王生/17_王生_12,,[哎，无妨！同我客气甚么？既是你头回入青楼，合该由我这长辈做东。],[哎，無妨！同我客氣什麼？既是你頭回入青樓，合該由我這長輩做東。],"""Nonsense! Why the formality? Since it's your first pleasure house visit, I should rightly play host.""",「ええい、いいんだよ！俺達の仲じゃないか。せっかくの初青楼だ、年長の俺が奢らなくてどうする」,"""Эй, да брось! К чему между нами эти формальности? Ты же в первый раз идёшь в 'зелёный терем' - так что мне, как более опытному, стоит проставиться.""",
,,方知宥,,,,,,,,默认64,,方知宥/17_方知宥_09,,[上回勾栏便是你请，此次我来罢！］,[上回勾欄便是你請，此次我來罷！］,"""You treated last time at the brothel—my turn this time!""",「この前も勾欄で奢ってもらって、今回もでは私の面子がないだろう！」,"""Но в тот раз в 'изогнутой балюстраде' ты и так уже платил - так что давай на этот раз заплачу я!""",
