#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,,,,,,,,,默认118,,,,我好奇地问。,我好奇地問。,I asked curiously.,気になって訊いてみた。,Поинтересовался я.,,,
,,林翩翩,,,,,,,,默认119,,林翩翩/13_林翩翩_023,,[因你瞧着便是好人模样，生得也白净斯文……说实话，大多数男人都没这么好，我之所以不敢跟人归家，就是因为早年遇到过很坏的人。］,[因你瞧著便是好人模樣，生得也白淨斯文……說實話，大多數男人都沒這麼好，我之所以不敢跟人歸家，就是因為早年遇到過很壞的人。］,"""Because you look like a good person—fair-skinned and gentle... Truth be told, most men aren’t this decent. I avoid going home with strangers because of a vile man I met years ago.""",「いい人そうだったし、いかにも文化人って感じだったから……正直、男なんてほとんどまともな奴がいないわよ。あたしが一緒に家まで行かないのも、昔ひどい男に当たったから」,"""Потому, что выглядишь как хороший человек... И вид у тебя - кожа белая, как у благородного, вежливый... По правде говоря, большинство мужчин не настолько хороши. Я не хожу к незнакомцам домой из-за одного лиходея, которого встретила пару лет назад.""",,,
,,方知宥,,,,,,,,默认120,,,,[……］,[……］,"""...""",「……」,"""...""",,,
,,,,,,,,,,默认121,,,,我来了一些兴趣，安静地听她讲。,我來了一些興趣，安靜地聽她講。,"My interest piqued, I listened quietly.",少し興味が湧き、静かに彼女の話に耳を傾ける。,"Мне стало интересно, так что я молча слушал её рассказ.",,,
,BgEvent,林翩翩侧卧3,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认122,,林翩翩/13_林翩翩_024,,[几年前，我刚开始接客的时候，一个坏人带我去了北城的一间屋子……我一进门，他便把门闩挂住，挡住门，强索我的钱财。］,[幾年前，我剛開始接客的時候，一個壞人帶我去了北城的一間屋子……我一進門，他便把門閂掛住，擋住門，強索我的錢財。］,"""Years ago, when I’d just started taking clients, a brute took me to a house in the North District... The moment I stepped inside, he barred the door and demanded my money.""",「数年前……この仕事を始めたばかりの頃、悪いやつに北城区の部屋に連れ込まれた……入るなり閂をかけて扉を塞いで、あたしの手持ちを奪おうとした」,"""Несколько лет назад, когда я только начала работать, какой-то подонок повёл меня к себе домой в Северный квартал... Как только я переступила порог, так он запер дверь и стал требовать деньги.""",,,
,,林翩翩,,,,,,,,默认123,,林翩翩/13_林翩翩_025,,[那时我才接过几回客，根本没攒什么钱，没有银两给他。］,[那時我才接過幾回客，根本沒攢什麼錢，沒有銀兩給他。］,"""Back then, I’d only had a few clients—I didn’t have a single tael to my name.""",「その頃のあたしは数人しかお客さんがとれず、そもそも渡せるほどのお金なんて持ってなかった」,"""Тогда я успела принять лишь несколько клиентов, у меня не было даже таэля серебра.""",,,
,,林翩翩,,,,,,,,默认124,,林翩翩/13_林翩翩_026,,[于是，他便一直打我……我哭喊着跪地求饶，他却变本加厉，狞笑着撕扯我的衣裳，一边扯，还一边对我拳脚相加……］,[於是，他便一直打我……我哭喊著跪地求饒，他卻變本加厲，獰笑著撕扯我的衣裳，一邊扯，還一邊對我拳腳相加……］,"""So he just kept hitting me... I screamed and begged on my knees, but he only grew more violent, grinning savagely as he tore at my clothes, beating and kicking me all the while...""",「そうしたら、そいつはあたしを何度も殴った……泣いて跪いてお願いしてもひどくなるだけで、残忍に笑いながら、あたしの服を破いて、ぼこぼこに殴った……」,"""Тогда он стал бить меня... Я кричала и молила о пощаде на коленях, но он лишь только раззадорился - со смехом начал срывать с меня одежду, не переставая бить и пинать меня...""",,,
,,方知宥,,,,,,,,默认125,,方知宥/13_方知宥_19,,[这人简直是禽兽。］,[這人簡直是禽獸。］,"""That man is nothing but a beast.""",「まるで畜生だな」,"""Да он настоящее животное.""",,,
,,,,,,,,,,默认126,,,,我听了她的讲述，也感到有些不适，心生愤慨。,我聽了她的講述，也感到有些不適，心生憤慨。,"Hearing her story made me sick to my stomach, boiling with rage.",彼女の話を聞いているうちに私までむかむかし、憤った。,"От её рассказа мне стало тошно, а в сердце поднялось возмущение.",,,
,,,,,,,,,,默认127,,,,那人哄骗弱女子到一处偏僻之地，身旁无人后便开始肆意凌辱。,那人哄騙弱女子到一處偏僻之地，身旁無人後便開始肆意凌辱。,"That bastard lured a defenseless woman to a secluded spot and, once they were alone, began assaulting her without restraint.",か弱い女を辺鄙な場所に連れ込み、他に誰もいないと見るや暴行凌辱の限りを尽くしたのだ。,"Этот подонок заманил беззащитную женщину в уединённое место и, пользуясь тем, что вокруг никого нет, стал издеваться над ней.",,,
,,,,,,,,,,默认128,,,,绝非是人子所为。,絕非是人子所為。,No human being would ever do such a thing.,とても人の所業とは思えない。,Человек бы так не поступил.,,,
,,林翩翩,,,,,,,,默认129,,林翩翩/13_林翩翩_027,,[是啊！禽兽！禽兽都不如！］,[是啊！禽獸！禽獸都不如！］,"""Exactly! A beast! Worse than a beast!""",「そうよ！畜生！あんなやつ、畜生以下よ！」,"""Точно! Животное! Хуже чем животное!""",,,
,,,,,,,,,,默认130,,,,林翩翩咬牙切齿，语中浸满憎恨。,林翩翩咬牙切齒，語中浸滿憎恨。,"Lin Pianpian spoke through gritted teeth, her voice dripping with hatred.",ぎりりと翩翩が歯ぎしりした。その言葉には憎しみがこもっている。,Злобно прошипела Линь Пяньпянь сквозь зубы.,,,
,,方知宥,,,,,,,,默认131,,方知宥/13_方知宥_20,,[后来……你是如何脱身的？],[後來……你是如何脫身的？],"""Later... How did you get away?""",「それから……どうやって逃げたんだ？」,"""А потом... как ты сбежала?""",,,
,,林翩翩,,,,,,,,默认132,,林翩翩/13_林翩翩_028,,[呜……我白白让他糟蹋了一回。事后他鼾声如雷，我佯装睡去，待他沉眠如死猪，便偷偷溜走了。］,[嗚……我白白讓他糟蹋了一回。事後他鼾聲如雷，我佯裝睡去，待他沉眠如死豬，便偷偷溜走了。］,"""Ugh... I let him have his way with me for nothing. Afterwards, he snored like thunder. I pretended to sleep, and when he was out cold like a dead boar, I slipped away.""",「ぶっちゃけ……やられ損だった。事が済むなり大きないびきをかいて寝ちゃったから、あたしも寝たふりをして、そいつが寝静まったのを確認してから、こっそり抜け出してきたってわけ」,"""Уф... Я разрешила ему делать со мной всё, что угодно. Потом он расхрапелся, я тоже притворилась спящей, а когда он уже совсем без задних ног спал, тихо ускользнула.""",,,
,,方知宥,,,,,,,,默认133,,方知宥/13_方知宥_21,,[你应该趁他睡着，偷了他的银两走。],[你應該趁他睡著，偷了他的銀兩走。],"""You should've stolen his silver taels while he slept.""",「そいつが寝てる隙に、金を奪ってやればよかったものの」,"""Тебе надо было украсть его деньги, пока он спал.""",,,
,,林翩翩,,,,,,,,默认134,,林翩翩/13_林翩翩_029,,[呵！那禽兽能有几文钱？不过是个泼皮无赖！便是翻箱倒柜，也搜刮不出几个铜子儿。],[呵！那禽獸能有幾文錢？不過是個潑皮無賴！便是翻箱倒櫃，也搜刮不出幾個銅子兒。],"""Hah! That beast wouldn't have more than a few coins to his name! Just a worthless scoundrel—you couldn't scrape together even a handful of coins if you ransacked the place.""",「ふん！あんな豚が数文でも持ってると思う？ただのならず者よ？家じゅうひっくり返したって、せいぜい銅銭数枚よ」,"""Ха! Да у этого животного и гроша не было за душой. Обыщи ты целый дом этого оборванца, максимум нашёл бы горсть медных монет.""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认135,,林翩翩/13_林翩翩_030,,[如今想来，我当时真该从他屋里摸把刀，趁他熟睡抹了他的脖子！],[如今想來，我當時真該從他屋裡摸把刀，趁他睡熟抹了他的脖子！],"""Looking back now, I should've grabbed a knife from his place and slit his throat while he slept!""",「今思えば、包丁を盗んで文字通り寝首を掻いてやればよかった！」,"""Сейчас вот думаю - надо было поискать у него нож и перерезать ему горло, пока он спал!""",,,
,BgEvent,林翩翩侧卧3,,,,,1,,,,,,,,,,,
,,方知宥,,,,,,,,默认136,,方知宥/13_方知宥_22,,[听你这般说……我等会儿可不敢睡了……怕被你抹了脖子。],[聽你這般說……我等會可不敢睡了……怕被你抹了脖子。],"""Hearing you say that... I won't dare sleep later... Afraid you'll slit my throat.""",「君の話を聞いていたら……寝られなくなりそうだ……君に首を掻き切られるかもしれなくて」,"""Раз ты такое говоришь... я пока не буду спать... А то вдруг ты мне тоже горло перережешь.""",,,
,,,,,,,,,,默认137,,,,我轻笑一声。,我輕笑一聲。,I let out a light chuckle.,ふっと私は笑う。,Я легонько усмехнулся.,,,
,BgEvent,林翩翩侧卧2,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认138,,林翩翩/13_林翩翩_031,,[嘻嘻，你不用怕的，冤有头债有主，你是好人，我不抹好人脖子！],[嘻嘻，你不用怕的，冤有頭債有主，你是好人，我不抹好人脖子！],"""Hehe, no need to fear! Debt has its debtor, blame has its bearer—you're good folk. I don't slit good folk's throats!""",「ふふっ、怖がらないで。それはそれ、これはこれ。知宥はいい人なんだから、そんな人の寝首を掻くわけないじゃない」,"""Ой, да не бойся! Кто виноват, с того и спрашивать - а ты человек хороший, хорошим я горло не режу!""",,,
,,林翩翩,,,,,,,,默认139,,林翩翩/13_林翩翩_032,,[唉……那时年纪小，没那胆气报复，事后也只会哭，接连几日不敢接客……鸨母打骂不休，我才不得不重操旧业……］,[唉……那時年紀小，沒那膽氣報復，事後也只會哭，接連幾日不敢接客……鴇母打罵不休，我才不得不重操舊業……］,"""Sigh... Back then, I was young, lacked the courage for revenge. Afterwards, I could only weep, refusing clients for days on end... The brothel matron's beatings and scolding never ceased—I had no choice but to return to the trade...""",「はあ……あの頃はまだ若くて復讐する勇気もなかったから、その後も泣いてばかりで数日はお客さんを取れなかったわ……女将さんにがみがみ言われ続けるから、しぶしぶ仕事に戻ったの……」,"""Эх... Я тогда была совсем юной, и смелости у меня не хватало, чтобы отомстить. После этого я несколько дней подряд лишь плакала и отказывалась от клиентов... Но хозяйка всё била и ругала меня, так что у меня не было другого выхода, как начать снова работать.""",,,
,,方知宥,,,,,,,,默认140,,方知宥/13_方知宥_23,,[难怪你如今不敢随客归家，倒是情有可原。],[難怪你如今不敢隨客歸家，倒是情有可原。],"""No wonder you refuse to go home with clients now. That's understandable.""",「なるほどな。客と帰ろうとしないのも無理はない」,"""Тогда неудивительно, что ты теперь не ходишь к клиентам домой - это более чем можно понять.""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认141,,林翩翩/13_林翩翩_033,,[是啊，其实柳巷的姑娘大多都有这样的经历，要不怎么说我们是二十四桥里最不容易的呢……],[是啊，其實柳巷的姑娘大多都有這樣的經歷，要不怎麼說我們是二十四橋裡最不容易的呢……],"""Indeed. Most maidens on Willow Lane share such stories. Why else would they say we're the toughest lot among the Twenty-Four Bridges...""",「でしょ。柳巷の娘たちにとって、そんなの日常茶飯事。だから二十四橋で最も生きづらいって言われてるの……」,"""Угу. На самом деле, на 'Ивовом переулке' у большинства девушек за плечами подобные истории. Недаром же говорят, что нам в районе Двадцать четвёртого моста живётся тяжелее всех...""",,,
,,方知宥,,,,,,,,默认142,,,,[……],[……],"""...""",「……」,"""...""",,,
,,林翩翩,,,,,,,,默认143,,林翩翩/13_林翩翩_034,,[花街勾栏有店铺倚仗，有龟公护佑……柳巷姑娘形单影只，即便死了，鸨母也未必会寻。],[花街勾欄有店鋪倚仗，有龜公護佑……柳巷姑娘形單影隻，即便死了，鴇母也未必會尋。],"""The Flower Street and Brothel has shopkeepers for backing and procurers for protection... The maidens of Willow Lane stand alone; even if they die, the brothel matron may not come searching.""",「花街や勾欄は自分の妓楼があるし、亀公（番頭）が守ってくれる……でも柳巷の娘は一人ぼっちで、死んだところで女将が探しに来てくれるかすら怪しい」,"""На 'Цветочной улице' и в 'изогнутых балюстрадах' у девушек опора в виде заведений, и защита в виде сводников... А на 'Ивовом переулке' что? Там девушки брошены на произвол судьбы, если какая помрёт, то хозяйка её, может, даже и искать не будет.""",,,
,,林翩翩,,,,,,,,默认144,,林翩翩/13_林翩翩_035,,[有时站得乏了，我们会互相闲聊，讨论一些糟糕的客人……有些客人邋遢不堪，居处污秽，简直无处下脚；有些则是鼾声震天，吵得人彻夜难眠。],[有時站得乏了，我們會互相閒聊，討論一些糟糕的客人……有些客人邋遢不堪，居處汙穢，簡直無處下腳；有些則是鼾聲震天，吵得人徹夜難眠。],"""When we grew weary from standing, we'd chat amongst ourselves, complaining about wretched patrons... Some patrons were filthy wretches living in squalor—their rooms too foul to enter; others snored like thunder, keeping us awake all night.""",「たまに立ち疲れると、みんなでやばい客とかの話をするの……身なりも家も汚くて足の踏み場もないような人だったり、いびきがうるさすぎて眠れないお客さんもいるのよ」,"""Иногда, когда скучно стоять, мы болтаем между собой, жалуясь на клиентов... Некоторые из них - те ещё неряхи, весь дом в грязи, даже ступить некуда; а некоторые так громогласно храпят, что глаз не сомкнуть.""",,,
,,林翩翩,,,,,,,,默认145,,林翩翩/13_林翩翩_036,,[有些客人在事后会纠缠不休，整日尾随，让姑娘难做生意……有些则是学堂先生，办事时如狼似虎，完事后却板起面孔训斥我们不知廉耻，劝我们找个正经营生。],[有些客人在事後會糾纏不休，整日尾隨，讓姑娘難做生意……有些則是學堂先生，辦事時如狼似虎，完事後卻板起面孔訓斥我們不知廉恥，勸我們找個正經營生。],"""Some patrons wouldn't let go afterward, hounding the maidens all day and ruining their business... Then there were the scholarly sirs—ravenous as wolves in the act, only to lecture us afterward about decency and demand we find honest work.""",「事後もしつこくて一日中つけ回されて商売にならない客もいるわ……先生みたいな人もいるわよ。やってる時は獣みたいなのに、終わると破廉恥だとか、まともな仕事をしろって説教するの」,"""Бывают слишком навязчивые клиенты... Как один раз сошлись, так потом за девушкой хвостиком ходит и работать мешает... Попадался и учёный люд - в постели словно голодные волки, а потом с серьёзным лицом читают нотации, отчитывают за 'бесстыдство' и советуют поискать более достойное занятие в жизни.""",,,
,,林翩翩,,,,,,,,默认146,,林翩翩/13_林翩翩_037,,[有些则毫无信誉，总是动些省钱的歪念，要么事成后反悔砍价，要么使假银骗人……更有甚者，会趁姑娘熟睡后再将银钱偷回，独自溜走……],[有些則毫無信譽，總是動些省錢的歪念，要嘛事成後反悔殺價，要嘛使假銀騙人……更有甚者，會趁姑娘睡熟後再將銀錢偷回，獨自溜走……],"""Some have no integrity at all, always scheming to save money—either reneging on agreed prices after the job's done or passing counterfeit silver... Worse yet, some wait until the Maiden's asleep to steal back the silver and slip away alone...""",「信用ならないやつもいるわ。けちることばかり考えてて、後から値切ったり反故にしたり、偽金で騙したり……ひどいと娘が寝てる間にお金を盗んでとんずらしたり……」,"""Есть ещё жлобы, которые постоянно пытаются что-нибудь придумать, чтобы сэкономить: либо уже после дела пытаются сбить цену, либо обманывают, подсовывая фальшивое серебро... А бывали и такие, которые, дождавшись, пока девушка уснёт, забирали её деньги и сбегали.""",,,
,,方知宥,,,,,,,,默认147,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认148,,,,我静静听着，表面是一副平静的模样，内心却掀起了许多波澜。,我靜靜聽著，表面是一副平靜的模樣，內心卻掀起了許多波瀾。,"I listened quietly, my face calm, but turmoil churned inside me.",静かに聞き入る。顔は平静を装っているが、内心はざわざわしていた。,"Я слушал с невозмутимым лицом, но внутри меня переполняли чувства.",,,
,,,,,,,,,,默认149,,,,这……这世间怎么有这么多坏人？,這……這世間怎麼有這麼多壞人？,This... How can there be so many wicked people in this world?,この世間は……そんなに悪いやつらばかりなのか？,Откуда... в мире столько подлых людей?,,,
,BgEvent,林翩翩侧卧3,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认150,,林翩翩/13_林翩翩_038,,[其实，我说的这些虽然差劲，但至少不会害人性命……最怕的是那种身染恶疾却还要来寻欢的……姑娘若是被这种人碰了，没多久也会染上病。],[其實，我說的這些雖然差勁，但至少不會害人性命……最怕的是那種身染惡疾卻還要來尋歡的……姑娘若是被這種人碰了，沒多久也會染上病。],"""Truth be told, as vile as these acts are, at least they don’t cost lives... The real nightmare is those rotting with disease who still come seeking pleasure... If a Maiden gets touched by such filth, she’ll catch the sickness soon enough.""",「ま、これもひどいことには変わりないけど、命に関わらないだけまし……一番怖いのは、たちの悪い病気を持ってるのに来る客よ……そんな人と交わったら、女の子に病気を移されちゃう」,"""Но знаешь, сколь бы ни были гадкими эти деяния, по крайней мере они не уносят жизни... Хуже всего, когда больные тяжёлой хворью всё равно приходят искать утех. Если девушка на такого наткнётся, она вскоре тоже заболеет.""",,,
,,林翩翩,,,,,,,,默认151,,林翩翩/13_林翩翩_039,,[我们这些人没什么钱治病，要不了多久便会身上溃烂，身下出血，过段时间便要死了……],[我們這些人沒什麼錢治病，要不了多久便會身上潰爛，身下出血，過段時間便要死了……],"""People like us can't afford treatment. Soon, our bodies will fester and bleed—then it's just a matter of time before we die...""",「あたし達には治療するお金なんてないし、すぐに体が膿んで、体から血が出てきて死んじゃうから……」,"""А таким, как мы, неоткуда взять денег на лечение. Вскоре тело начинает гноиться и кровить - ну а потом ещё немного, и смерть.""",,,
,BgEvent,林翩翩侧卧2,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认152,,林翩翩/13_林翩翩_040,,[哦，突然想起来……前阵子我还听说有个姑娘和客人吵架，最后被那客人杀了……],[哦，突然想起來……前陣子我還聽說有個姑娘和客人吵架，最後被那客人殺了……],"""Oh, it just came to me... Not long ago, I heard a maiden quarreled with a client and was killed by him in the end...""",「あっ、そういえば……ついこの前、お客さんと口論になって殺された子がいたっけ……」,"""А, вспомнила ещё... Недавно слышала, что одна девушка повздорила с клиентом, а тот убил её потом.""",,,
,,,,,,,,,,默认153,,,,林翩翩说到后面，压低了声音。,林翩翩說道後面，壓低了聲音。,Lin Pianpian's voice dropped as she reached this part.,林翩翩はそう言うと、声を落とした。,"Понизив голос, сказала Линь Пяньпянь.",,,
,,方知宥,,,,,,,,默认154,,方知宥/13_方知宥_24,,[他们因何争执？为何会杀人？],[他們因何爭執？為何會殺人？],"""What sparked their fight? Why resort to murder?""",「何で言い争ったんだ？殺すほどのことになるなんて」,"""А из-за чего повздорила-то? Зачем было убивать её?""",,,
,,,,,,,,,,默认155,,,,我微微一愣，有些好奇。,我微微一愣，有些好奇。,"I paused, intrigued.",少し驚きつつも、やはり好奇心は止まらない。,Озадаченно спросил я.,,,
,,林翩翩,,,,,,,,默认156,,林翩翩/13_林翩翩_041,,[听说是那客人炫耀财富，那姑娘原是青楼出身，见多识广，反唇相讥，戳破了他的牛皮……那客人恼羞成怒，便在床上将她活活掐死了……],[聽說是那客人炫耀財富，那姑娘原是青樓出身，見多識廣，反唇相譏，戳破了他的牛皮……那客人惱羞成怒，便在床上將她活活掐死了……],"""They say the client was flaunting his wealth. The maiden, a pleasure house veteran, saw through his act and tore into him, exposing his lies... The enraged guest strangled her to death right on the bed...""",「たしか、お客さんが金持ちぶってたんだけど、その子は青楼出身で世慣れしてたから言い返して化けの皮を剥いじゃったの……そしたらお客さんが怒って、床（とこ）の上で絞め殺しちゃったって……」,"""Говорят, он хвастался своим богатством. Но та девушка была родом из 'зелёного терема', много чего повидала в своей жизни, так что разоблачила его ложь и стала насмехаться над ним... Тогда он в ярости задушил её прямо на кровати.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,方知宥,,,,,,,,默认157,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认158,,,,我听了林翩翩的讲述后，感慨颇深。,我聽了林翩翩的講述後，感慨頗深。,"After hearing Lin Pianpian's story, I was deeply moved.",翩翩の話を聞いて、私は感慨にふけった。,История Линь Пяньпянь потрясла меня.,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认159,,,,柳巷因为价格低廉，缺乏管束，客源龙蛇混杂，质量参差不齐。,柳巷因為價格低廉，缺乏管束，客源龍蛇混雜，品質參差不齊。,"Willow Lane, being cheap and loosely regulated, drew a motley crowd of clients with wildly varying standards.",柳巷は価格帯が安く、管理も甘い。客層も玉石混合で、その質もまちまちだ。,"""Ивовый переулок"" был местом дешёвым и толком не сдерживаемым никакими правилами, так что он притягивал разный люд с разными нравами и разного пошиба.",,,
