#SHEET_NAME,结局-出家
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,,,,,,,,,,默认6,,,,我缓缓对空幻师父叙述着我出家的理由。,我緩緩對空幻師父敘述著我出家的理由。,"I explained my reason for seeking monastic life to Master Konghuan, my words measured.",出家をしたい理由を空幻に述べる。,"Неторопливо объяснил я учителю Кунхуаню, почему хочу принять постриг.",
,,空幻,说话,,,,,,,默认7,,空幻/33-1_空幻_01,,[贫僧明白了……看来施主哪怕就此剃度，也是“身出家”，而非“心出家”。],[貧僧明白了……看來施主哪怕就此剃度，也是“身出家”，而非“心出家”。],"""This humble monk understands... It seems the Patron's tonsure would only make you 'physically monastic', not 'spiritually monastic'.""",「なるほど……施主殿がここで出家したとしても、『身の出家』であり、『心の出家』にはならなさそうだ」,"""Сей монах понимает... Похоже, ежели Вы ныне обреете голову, постриг примет только Ваша телесная оболочка, но не духовная.""",
,,方知宥,,,,,,,,默认8,,方知宥/33-1_方知宥_03,,[大师的意思是……我不适合在此时出家？],[大師的意思是……我不適合在此時出家？],"""Master means... I'm not suited to take monastic vows at this time?""",「それはつまり……まだ出家すべき時ではないと？」,"""Учитель, Вы... имете в виду, что я ещё не готов принять постриг?""",
,,,,,,,,,,默认9,,,,我有些忐忑地问道。,我有些忐忑的問道。,I asked somewhat apprehensively.,困惑して尋ねる私。,С опаской спросил я.,
,,空幻,微笑,,,,,,,默认10,,空幻/33-1_空幻_02,,[不，施主已有了佛心，自然可以出家，贫僧愿意为您剃度，指引您遁入空门。],[不，施主已有了佛心，自然可以出家，貧僧願意為您剃度，指引您遁入空門。],"""No, the Patron has already developed Buddha's heart. Naturally you may take vows. This humble monk would be honored to perform your tonsure and guide you into monastic life.""",「否。既に施主どのの心には仏が宿っている。もちろん歓迎する。僭越ながら貧僧がそなたの頭を剃り、法門への水先人となろう」,"""Нет, господин мирянин уже обрёл сердце Будды. Вы готовы принять постриг. И сей монах почтёт за честь совершить его для Вас и открыть Вам путь во 'врата постижения пустоты'.""",
,,,,,,,,,,默认11,,,,空幻师父笑了笑，向我行了一个佛礼。,空幻師父笑了笑，向我行了一個佛禮。,Master Konghuan smiled and performed a Buddhist rite toward me.,空幻和尚はにっこりと笑うと、私に向かって仏礼をした。,"Улыбнувшись, учитель Кунхуань поклонился мне по-буддийски.",
,,方知宥,,,,,,,,默认12,,,,[……],[……],"""...""",「……」,"""...""",
,,,,,,,,,,默认13,,,,我也朝他回了一个佛礼。,我也朝他回了一個佛禮。,I returned the gesture with a Buddhist rite of my own.,私も彼に仏礼を返す。,Я поклонился ему в ответ.,
,,,,,,,,,,默认14,,,,我知道，大概从今往后，他要成为我真正的“师父”了。,我知道，大概從今以後，他要成為我真正的“師父”了。,"I knew that from this moment onward, he would likely become my true ""<ruby=Shifu>master</ruby>"".",今後は彼が私にとって真の「師父」になることを予感していた。,"С этого момента я понял, что теперь он и правда станет моим ""учителем"".",
,,,,,,,,,,默认15,,,,……,……,...,……,...,
,FadeOut,black,,,,,1,,,,,,,,,,,
,CharacterOff,,,,,,,,,,,,,
,Wait,,,,,,2,,,,,,,
,BgEvent,出家2,,,,,,,,,,,,
,Bgm,曲终人散,,,,0.2,3,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认16,,,,几日后，扬州城破后的第十日，在城北那座我和小雁儿曾躲藏过的破庙中，空幻师父为我举行了剃度仪式。,幾日後，揚州城破後的第十日，在城北那座我和小雁兒曾躲藏過的破廟中，空幻師父為我舉行了剃度儀式。,"Several days later, on the tenth day after Yangzhou City fell, Master Konghuan performed my tonsure ceremony in that ruined temple north of the city where Little Yan and I had once taken shelter.",数日後。揚州が落とされてから十日目。小雁と隠れた城北の荒れ寺で、空幻師父が私の剃髪の儀を執り行った。,"Через несколько дней, на десятый день после падения Янчжоу, учитель Кунхуань провёл церемонию пострижения в том разрушенном храме на севере города, в котором я с Лебёдушкой когда-то прятался.",
,,,,,,,,,,默认17,,,,这座庙宇大概因为过于残破，在城破的那几日并未被恶兵注意到，整个寺庙都保存完好。,這座廟宇大概因為過於殘破，在城破的那幾日並未被惡兵注意到，整個寺廟都保存完好。,"This temple, likely due to its extreme dilapidation, went unnoticed by the marauding soldiers during the city's fall, leaving the entire structure intact.",この寺は元よりすっかり荒れ果てていたため、町が落ちてからも悪兵たちの目に留まらず、全くの無傷で残っていた。,"Храм, вероятно, из-за своей запущенности остался незамеченным мародерствующими солдатами, когда город пал, поэтому всё здание уцелело.",
,,,,,,,,,,默认18,,,,前两日又下了一场小雨。,前兩日又下了一次小雨。,A light rain fell again two days ago.,この二日間はまた雨だった。,Два дня назад снова пролил небольшой дождик.,
,,,,,,,,,,默认19,,,,因此，此时有些许雨水从屋檐的破洞处滴落，落在破庙的凹下去的水洼处，发出叮叮咚咚的响声。,因此，此時有些許雨水從屋簷的破洞處滴落，落在破廟的凹下去的水窪處，發出叮叮咚咚的響聲。,"Thus, droplets now trickle through holes in the eaves, falling into sunken puddles within the ruined temple, producing a gentle plinking sound.",そのため、時々雨水が屋根の隙間から漏り、寺の窪んだ水たまりに滴ってぽたぽたと音を立てていた。,"Из-за дырявой крыши капли просачивались внутрь и с тихим звоном разбивались о лужицы, заполнившие пол полуразрушенного храма.",
,,,,,,,,,,默认20,,,,破庙的观音像前摆放着两个蒲团，蒲团旁有一件叠好的朴素僧袍。,破廟的觀音像前擺放著兩個蒲團，蒲團旁有一件疊好的樸素僧袍。,"Before the Guanyin statue in the derelict temple lay two meditation cushions, beside which rested a neatly folded plain monk's robe.",荒れ寺の観音像の前に座布団が二つ敷かれ、傍らには畳まれた質素な僧袍が置いてある。,"Перед статуей Гуаньинь лежали две подушки для медитаци, а рядом была аккуратно сложена простая монашеская ряса.",
,,,,,,,,,,默认21,,,,空幻师父拿来一个装着清水的木盆，燃起了三炷香。,空幻師父拿來一個裝著清水的木盆，燃起了三炷香。,Master Konghuan brought a wooden basin of clean water and lit three sticks of incense.,空幻師父は水の入った盆を持ってくると、三本の線香に火を灯した。,Учитель Кунхуань принёс деревянную бадью с водой и зажёг три палочки благовоний.,
,BgEvent,出家3,,,,,2,,,,,,,
,,,,,,,,,,默认22,,,,青烟袅袅之中，他用一块破布舀起清水，帮我把头上的发丝洗净，再而将剃刀挪移至半湿的头发之上。,青煙裊裊之中，他用一塊破布舀起清水，幫我把頭上的髮絲洗淨，再而將剃刀挪移至半濕的頭髮之上。,"Amidst the curling blue smoke, he scooped clear water with a tattered cloth, washed the strands from my head, then moved the razor over the dampened hair.",青い煙が立ち上る中、彼はぼろ布を水に浸し、私の髪を清めた。そして剃刀を半乾きの髪に当てる。,"Среди танцующего голубоватого дыма он окунул тряпку в воду, смочил мне волосы, а затем провел бритвой по влажным прядям.",
,,空幻,,,,,,,,默认23,,空幻/33-1_空幻_03,,[一剃烦恼断……二剃贪嗔除……三剃尘缘尽……四剃红尘了……],[一剃煩惱斷……二剃貪嗔除……三剃塵緣盡……四剃紅塵了……],"""First shave severs worldly troubles... Second shave eradicates greed and wrath... Third shave ends earthly bonds... Fourth shave concludes mortal dust...""",「一つ剃れば煩悩断ち……二つ剃れば欲除き……三つ剃れば俗縁尽き……四つ剃れば浮世離れる……」,"""Первое бритье отсекает мирские тревоги... Второе освобождает от жадности и гнева... Третье разрывает земные узы... Четвертое дарует свободу от мирской суеты.""",
,,,,,,,,,,默认24,,,,空幻师父悠悠念着，剃刀不断在我的头皮上划过。,空幻師父悠悠唸著，剃刀不斷在我的頭皮上劃過。,Master Konghuan murmured rhythmically as the razor glided steadily across my scalp.,空幻師父がゆったりと唱えながら、剃刀で私の頭皮をなぞっていく。,"Пока бритва скользила по моей голове, учитель Кунхуань ритмично бормотал эти слова.",
,,方知宥,,,,,,,,默认25,,,,[……],[……],"""...""",「……」,"""...""",
,,,,,,,,,,默认26,,,,我没有说话，只是闭着双眼，静静感受着剃刀在头皮上划过的凉意。,我沒有說話，只是閉著雙眼，靜靜感受著剃刀在頭皮上劃過的涼意。,"I remained silent, eyes closed, quietly feeling the razor's cool trail across my scalp.",私は口をつぐみ、ただ両目を閉じ、剃刀が頭を滑るひんやりとした感触を静かに感じた。,"Я ничего не говорил, лишь с закрытыми глазами спокойно ощущал прохладное скольжение бритвы по моей голове.",
,BgEvent,出家4,,,,,1,,,,,,,
,,,,,,,,,,默认27,,,,发丝自我的头上被剃落，摇摇晃晃地打着转，最终落在了地上。,髮絲自我的頭上被剃落，搖搖晃晃地打著轉，最終落在了地上。,"Shorn strands tumbled from my head, swaying in spirals before settling on the ground.",髪が頭から剃り落とされ、はらはらと舞いながら床に落ちていく。,"Срезанные пряди волос падали с головы, кружась в воздухе, прежде чем опуститься на землю.",
,,,,,,,,,,默认28,,,,我听着滴滴答答的水声，心灵却愈加宁静。,我聽著滴滴答答的水聲，心靈卻愈加寧靜。,"As I listened to the sound of dripping water, my mind grew even more tranquil.",ぽたぽたと滴る水の音に耳を澄ませていると、心が静かに落ち着いていった。,"Слушая, как капает вода, я чувствовал, что обретаю спокойствее.",
,,,,,,,,,,默认29,,,,那些记忆中的身影，雁儿姐、林翩翩、王生，一个个浮现，再而一个个消失……,那些記憶中的身影，雁兒姐、林翩翩、王生，一個個浮現，再而一個個消失……,"Those figures from memory—<ruby=Swan Goose>Sister Yan</ruby>, Lin Pianpian, Scholar Wang—emerged one by one, only to fade away again...",記憶で見た姿が……雁姉、林翩翩、王書生たちの姿が、一つずつ浮かんでは、また一つずつ消えていく……,"Люди из прошлого - сестричка Лебёдушка, Линь Пяньпянь, учёный Ван - всплывали в памяти один за другим, чтобы потом снова исчезнуть.",
,,,,,,,,,,默认30,,,,剃度完后，我有了一个法号：“明宥”。,剃度完後，我有了一個法號：“明宥”。,"After the tonsure, I received the Dharma name ""Ming You"".",剃髪が終わり、私は「<ruby=めいゆう>明宥</ruby>」という戒名を授かった。,После пострига мне дали монашеское имя - Минъю.,
,,,,,,,,,,默认31,,,,按理说，僧人取法号时，应当避讳原本的名字，空幻师父原本给我取的名字是“明净”。,按理說，僧人取法號時，應當避諱原本的名字，空幻師父原本給我取得名字是“明淨”。,"Traditionally, when monks receive Dharma names, they should avoid their secular names. Master Konghuan had originally intended to name me ""Ming Jing"".",普通であれば、僧が戒名を授かる際は元の名を避けるべきである。空幻師父が当初私に授けた名も「<ruby=めいじょう>明浄</ruby>」であった。,"По традиции, монашеское имя не должно было иметь связи с мирским именем принимающего постриг - и учитель Кунхуань сначала хотел дать мне имя ""Минцзин"".",
,,,,,,,,,,默认32,,,,可我对空幻师父说，我在俗世之时，并未领会“宥”的真谛，不能承接这个名字的意义。,但我對空幻師父說，我在俗世之時，並未領會“宥”的真諦，不能承接這個名字的意義。,"But I told Master Konghuan that during my worldly life, I had never truly understood the essence of ""You"" and thus could not bear the weight of that name.",しかし私は空幻師父にこう言った。俗世にいる間、私は「宥」の真諦を理解しておらず、この名の意味を継ぐことができていないと。,"Но я признался ему, что в мирской жизни так и не постиг истинного смысла <ruby=宥 (Ю)>""великодушия""</ruby> и оказался не в силах нести бремя этого имени.",
,,,,,,,,,,默认33,,,,因此，我希望在皈依我佛后，继续参悟此字的意义，因此想要叫“明宥”。,因此，我希望在皈依我佛後，繼續參悟此字的意義，因此想要叫“明宥”。,"Therefore, I wished to continue contemplating the meaning of this character after taking refuge in the Buddha, and so I asked to be called ""Ming You"".",そのため、仏門に帰依した後もこの字の意味を理解したい旨を説き、「明宥」を名乗りたいと申し出た。,"Поэтому я пожелал продолжить размышления над смыслом этого иероглифа уже на службе у Будды и попросил наречь меня ""Минъю"".",
,,,,,,,,,,默认34,,,,空幻师父同意了。,空幻師父同意了。,Master Konghuan agreed.,空幻師父はそれを了承してくれた。,Учитель Кунхуань согласился.,
,BgEvent,出家5,,,,,1,,,,,,,
,,,,,,,,,,默认35,,,,成为僧人明宥后的第二日，我便投身到了扬州城的重建中，加入了官府组织的队伍。,成為僧人明宥後的第二日，我便投身在了揚州城的重建中，加入了官府組織的隊伍。,"The second day after becoming monk Ming You, I joined the government-organized team to help rebuild Yangzhou City.",僧の明宥になって翌日。私は揚州の町の復興に身を投じ、官府が組織した作業班に加わることになった。,"На второй день после того, как я стал монахом по имени Минъю, я присоединился к организованной властями группе, чтобы помогать восстанавливать город.",
,,,,,,,,,,默认36,,,,我们最初的工作是清理旧屋和河道。,我們最初的工作是清理舊屋和河道。,Our first task was clearing old houses and dredging waterways.,最初の仕事は古い家屋や水路の掃除だった。,Нашей первой задачей было расчистить старые дома и прочистить реку.,
,,,,,,,,,,默认37,,,,原先街上堆着的尸体，此时几乎都被焚烧了。,原先街上堆得屍體，此時幾乎都被焚燒了。,Most corpses that had littered the streets had already been burned.,町に積み上がっていた遺体は、既にほぼ全てが燃されていた。,Большинство трупов на улицах уже сожгли.,
,,,,,,,,,,默认38,,,,但有些尸体是在一些房间和河道中的，不易处理。,但有些屍體是在一些房間和河道中的，不易處理。,"But some remained in buildings and canals, making them harder to remove.",しかし家の中や水路にある一部の死体の処理はなかなか難しい。,"Но некоторые остались в домах и реках, поэтому убирать их было труднее.",
,,,,,,,,,,默认39,,,,于是，我便和佛门师兄弟一起，将那些在各种地方的尸体搬运而出。,於是，我便和佛門師兄弟一起，將那些在各種地方的屍體搬運而出。,So I worked with my fellow monks to retrieve bodies from these scattered locations.,そのため、私は仏門の兄弟弟子たちと共に、各所に散らばった死体の搬出を行った。,Мы с другими старшими и младшими братьями по учению доставали тела из этих мест.,
,,,,,,,,,,默认40,,,,空气中始终弥漫着腐臭和焦糊的气味，很多参与清理的师兄弟都病倒了。,空氣中始終瀰漫著腐臭和焦糊的氣味，很多參與清理的師兄弟都病倒了。,The constant stench of rotting flesh and smoke made many cleanup volunteers sick.,空気には腐臭と焦げた臭いが終始漂い、清掃に参加した兄弟弟子たちの多くが体調を崩してしまった。,"От постоянной вони гниющей плоти и дыма многим братьям по учению, которые вызвались чистить трупы, стало плохо.",
,,,,,,,,,,默认41,,,,阿弥陀佛，我大概是得到了我佛的庇佑，在这之中并未染病，而是仿佛有使不完的力气，一直干到了最后。,阿彌陀佛，我大概是得到了我佛的庇佑，在這之中並未染病，而是彷彿有使不完的力氣，一直幹到了最後。,"Amitabha Buddha, I was likely blessed by the Buddha, for I never fell ill and instead felt inexhaustible, working tirelessly until the end.",南無阿弥陀仏、私は仏の加護を受けたのだろう。そんな中でも病に倒れることもなく、力尽きることなどないかのように最後まで働き続けることができた。,"О Амитабха, меня, должно быть, хранил сам Будда - ведь мне ни разу не поплохело. Напротив, прилив энергии не покидал меня, и я работал без передышки до самого конца.",
,,,,,,,,,,默认42,,,,随后的三个月里，我跟着空幻师父，帮扬州城民做了许多工作。,隨後的三個月裡，我跟著空幻師父，幫揚州城民做了許多工作。,"Over the next three months, I accompanied Master Konghuan and performed many tasks for the people of Yangzhou.",その後の三か月、私は空幻師父について、揚州の人々のために様々な仕事をした。,Следующие три месяца я ходил за учителем Кунхуанем и работал на благо жителей Янчжоу.,
,,,,,,,,,,默认43,,,,这些工作有修复城墙、安置流民，也有帮助官府整理文书、主持法事……,這些工作有修復城牆、安置流民、也有幫助官府整理文書、主持法事……,"The work included repairing the city walls, relocating refugees, assisting the authorities with documentation, and presiding over religious rites...",城壁の修復や難民の保護から、官府の文書の整理や法事の執り行いまで……,"Работа включала ремонт городских стен, переселение беженцев, помощь властям с документами и проведение заупокойных богослужений...",
,,,,,,,,,,默认44,,,,修复城墙时，我跟着精通砌墙的施主学习，学了一门新手艺。,修復城牆時，我跟著精通砌牆的施主學習，學了一門新手藝。,"During the wall repairs, I learned a new craft from a patron skilled in masonry.",城壁の修復の時は、石積みに長けた施主から学ぶことで、新たに手に職をつけた。,"Во время ремонта стен я научился новому ремеслу у одного господина мирянина, мастера по каменной кладке.",
,,,,,,,,,,默认45,,,,安置流民时，我遇见了曾经被我救下的那对母女，那个母亲没认出我，那个女孩却第一眼认出了我，紧接着两人哭着对我表达了谢意。,安置流民時，我遇見了曾經被我救下的那對母女，那個母親沒認出我，那個女孩卻第一眼認出了我，緊接著兩人哭著對我表達了謝意。,"While relocating refugees, I met the mother and daughter I’d once saved. The mother didn’t recognize me, but the girl did instantly—both wept as they thanked me.",難民の保護では、以前に救ったあの母娘に偶然再会した。母親の方は私だとわからなかったが、娘の方が一目で私だと見抜き、ともども泣きながら私に感謝の意を伝えてきた。,"Расселяя беженцев, я встретил мать и дочь, которых когда-то спас. В отличие от матери, девочка сразу же узнала меня. Они обе в слезах благодарили меня.",
,,,,,,,,,,默认46,,,,整理文书时，我遇到了王生，王生起初不理解我出家的决定，花了一些时日去接受。,整理文書時，我遇到了王生，王生起初不理解我出家的決定，花了一些時日去接受。,"While organizing documents, I encountered Scholar Wang, who initially didn't understand my decision to become a monk and took some time to accept it.",文書の整理では王書生と出会った。はじめのうち、彼は私が出家した決断を理解できず、受け入れるまでに時間がかかった。,"Помогая с документами, я встретил учёного Вана. Поначалу он не понимал моего решения принять постриг, но спустя какое-то время всё же смирился с ним.",
,,,,,,,,,,默认47,,,,主持法事时，我看到数万民众前来祭奠，哭声震天。,主持法事時，我看到數萬民眾前來祭奠，哭聲震天。,"During the memorial service, I saw tens of thousands of mourners, their wails shaking the heavens.",法事では数万の人々が参列し、彼らの慟哭が天を震わせた。,"Во время совершение заупокойной службы я видел десятки тысяч скорбящих, их рыдания словно сотрясали небеса.",
,,,,,,,,,,默认48,,,,空幻师父站在法台上诵经，我站在他的身侧，旁观着悲恸的众生。,空幻師父站在法台上誦經，我站在他的身側，旁觀著悲慟的眾生。,"Master Konghuan stood on the ritual platform chanting scriptures while I stood beside him, observing the grieving crowd.",空幻師父が演台に立って経を読み上げ、私はその傍らに立ち、悲嘆に暮れる人々を見守った。,"Учитель Кунхуань, стоя на амвоне, читал сутры. Я же стоял подле него, взирая на скорбящую толпу.",
,,,,,,,,,,默认49,,,,我就这样在扬州城过了大半年，这半年里，我虽然心态越来越平静，却总是会在晚上失眠。,我就這樣在揚州城過了大半年，這半年裡，我雖然心態越來越平靜，卻總是在會在晚上失眠。,"I spent over half a year in the City of Yangzhou this way. Though my mind grew calmer during these months, I often suffered from insomnia at night.",そんなこんなで、私は揚州で半年あまりを過ごした。この半年で心が徐々に静かになっていったものの、夜になるといつも眠れなくなっていた。,"Так я прожил в Янчжоу больше полугода. Хотя за эти месяцы мой разум стал спокойнее, по ночам меня часто мучила бессонница.",
,,,,,,,,,,默认50,,,,失眠时，脑海里又会浮现出许多人的容颜，总是挥之不去。,失眠時，腦海裡又會浮現出許多人的容顏，總是揮之不去。,"During sleepless nights, the faces of many people would resurface in my mind, lingering persistently.",眠れない夜はいつも多くの人々の顔が頭に浮かび、どうやっても消えてくれなかった。,В бессонные ночи лица многих людей всплывали в памяти и подолгу не исчезали.,
,,,,,,,,,,默认51,,,,我找到空幻师父倾诉此事，他想了想，说我身上背负的尘缘过重，或许该正规地学习几年佛法，才能彻底了断前尘，达到“无我”的境界。,我找到空幻師父傾訴此事，他想了想，說我身上背負的塵緣過重，或許該正規的學習幾年佛法，才能徹底了斷前塵，達到“無我”的境界。,"I sought out Master Konghuan to confide in him about this matter. After some thought, he said I was burdened with too many worldly attachments and perhaps needed to formally study Buddhism for several years to completely sever past ties and attain the state of ""Selflessness"".",空幻師父にこのことを話すと、彼は少し考え、俗世での縁が強すぎるのだと説明してくれた。年月をかけてきちんと仏法を学べば、俗縁をきっぱり断ち、「無我」の境地に至れるかもしれないとも。,"<size=27>Найдя учителя Кунхуаня, я рассказал ему об этом. Немного подумав, тот ответил, что я всё ещё обременён мирскими привязанностями и должен несколько лет досконально постигать учение - только так удастся полностью разорвать связи с прошлым и познать ""анатман"". <i>(Анатман - буд. доктрина отсутствия самости в человеке.)</i></size>",
,,,,,,,,,,默认52,,,,于是，他便写了一封信，介绍我去他曾经学习佛法的南京栖霞寺学习。,於是，他便寫了一封信，介紹我去他曾經學習佛法的南京棲霞寺學習。,"So he wrote a letter recommending me to study at Qixia Temple in Nanjing, where he himself had once studied Buddhism.",そこで彼は一通の手紙を書き、彼がかつて仏法を学んだ南京の<ruby=せいかじ>棲霞寺</ruby>への修行を紹介してくれた。,"Поэтому он написал верительное письмо, чтобы я отправился учиться в храм Цися в Нанкине, где он сам когда-то изучал буддизм.",
,,,,,,,,,,默认53,,,,我听罢，点头同意了。,我聽罷，點頭同意了。,"Hearing this, I nodded in agreement.",その話を聞き、私は頷いて同意した。,"Выслушав его, я согласился.",
,,,,,,,,,,默认54,,,,在某一日的正午，我告别了刚刚重建的扬州城，背上行囊，前往了南京。,在某一日的正午，我告別了剛剛重建的揚州城，背上行囊，前往了南京。,"At noon one day, I bid farewell to the recently rebuilt City of Yangzhou, shouldered my pack, and set off for Nanjing.",とある日の正午。私は復興が終わったばかりの揚州に別れを告げ、背嚢を担いで南京へ向かった。,"В полдень одного из дней я распрощался с недавно отстроенным Янчжоу, взвалил узелок на плечо и отправился в Нанкин.",
,,,,,,,,,,默认55,,,,......,......,...,......,...,
,BgEvent,出家6,,,,,1,,,,,,,
,,,,,,,,,,默认56,,,,初到南京的栖霞寺，我便被安排在山门的接待处。,初到南京的棲霞寺，我便被安排在山門的接待處。,"Upon arriving at Qixia Temple in Nanjing, I was assigned to the reception area at the mountain gate.",南京の棲霞寺に着くと、山門の接待所へと連れられた。,По прибытии в храм Цися меня назначили служить в приёмной комнате у горных ворот.,
,,,,,,,,,,默认57,,,,这里香客如织，一个寺庙倒显得比东关街还热闹。,這裡香客如織，一個寺廟倒顯得比東關街還熱鬧。,"The pilgrims here are as thick as woven fabric, making this temple even livelier than Dongguan Street.",<ruby=参拝客>香客</ruby>がひっきりなしに訪れ、ただの寺なのに東関街よりも賑わっている。,"Паломников было так много, что они казались одной сплошной рекой. Из-за этого здесь было даже оживлённее, чем на улице Восточной заставы.",
,,,,,,,,,,默认58,,,,南京城的施主，比扬州城的施主要幸运得多。,南京城的施主，比揚州城的施主要幸運地多。,The patrons from Nanjing City are far more fortunate than those from Yangzhou.,南京の施主は揚州の施主たちよりもはるかに恵まれている。,"Господам мирянам из Нанкина повезло куда больше, чем их собратьям из Янчжоу.",
,,,,,,,,,,默认59,,,,新朝兵不血刃地拿下了这里，没有多少施主受过刀兵之苦。,新朝兵不血刃地拿下了這裡，沒有多少施主受過刀兵之苦。,"The New Dynasty took this place without bloodshed, sparing most patrons from the horrors of war.",新たな朝廷の兵は無血でこの地を治め、多くの施主は戦火の苦しみを味わうことがなかった。,"Новая династия захватила город без кровопролития, спасая господ мирян от ужасов войны.",
,,,,,,,,,,默认60,,,,然而，依然常有施主来寺庙抱怨当下。,然而，依然常有施主來寺廟抱怨當下。,Yet patrons still often come to the temple to lament the present.,しかしそれでも、寺に来ては愚痴をこぼす施主もいる。,"И всё же люди часто приходили в храм, чтобы оплакивать нынешнее положение дел.",
,,,,,,,,,,默认61,,,,新朝推行剃发令，所有汉人都要剃发易服，若是有人不依法照做，便会被朝廷的官兵杀头。,新朝推行剃發令，所有漢人都要剃髮易服，若是有人不依法照做，便會被朝廷的官兵殺頭。,"The New Dynasty enforced the Hair Shaving Order, mandating all Han people to shave their heads and change attire—disobedience meant execution by Imperial Guards.",朝廷は<ruby=ていはつれい>剃髪令</ruby>を公布し、すべての漢民族は髪を剃って頭を丸めなければならない。もしも従わなければ、朝廷の官兵によって斬首される。,Новая династия ввела указ о бритье головы: всем ханьцам было приказано сбрить волосы и сменить одежду - за неповиновение их казнили.,
,,,,,,,,,,默认62,,,,很多施主虽然对此规定不满，认为此举是背叛祖宗、是行亡族灭种之事。,很多施主雖然對此規定不滿，認為此舉是背叛祖宗、是行亡族滅種之事。,"Many patrons, though resentful of this decree, viewed it as a betrayal of their ancestors and a step toward racial annihilation.",多くの施主がこの決まりについて、先祖への裏切りであり、亡族の行いであると不満を抱いている。,"Многие господа миряне были недовольны этим указом, они считали его предательством своих предков и актом, ведущим к истреблению их народа.",
,,,,,,,,,,默认63,,,,毕竟，剃发易服了后，装束和那些曾经的异族之人一同，那么还能算是汉人吗？,畢竟，剃髮易服了後，裝束和那些曾經的異族之人一同，那麼還能算是漢人嗎？,"After all, once the Shaving Hair and Changing Attire is enforced, with attire now resembling that of the former outsiders, can one still be considered Han?",髪を剃り服まで変え、かつての異民族と同じになってしまったら、それは漢人と呼べるのだろうか。,"Ведь, если так подумать, сбрив волосы и надев чужеземную одежду, став по облику неотличим от захватчиков, - можешь ли ты по-прежнему считать себя ханьцем?",
,,,,,,,,,,默认64,,,,然而，诸位施主们为了保命，几乎少有人敢于反抗。,然而，諸位施主們為了保命，幾乎少有人敢於反抗。,"Yet, for the sake of survival, few Patrons dared to resist.",しかし施主たちは自分の命を守るため、反抗しようとする者はごく少数だった。,"Тем не менее, большинство господ мирян ради выживания не осмелилось сопротивляться.",
,,,,,,,,,,默认65,,,,呵。,呵。,Heh.,ふっ。,Хех.,
,,,,,,,,,,默认66,,,,说到这里，贫僧便想自夸、亦或是自嘲一番了。,說到這裡，貧僧便想自誇、亦或是自嘲一番了。,"Speaking of this, This Humble Monk cannot help but boast—or perhaps mock himself.",私は自分のことを褒めつつ、また自嘲した。,"Кстати, сей монах не может не похвастаться... а точнее, посмеяться над собой.",
,,,,,,,,,,默认67,,,,看来，贫僧还是聪明的。,看來，貧僧還是聰明的。,It seems This Humble Monk is still clever.,どうやら私は幾分か聡明だったようだ。,"Похоже, сей монах всё-таки оказался умён.",
