,,,,,,,,,,默认7,,,,他每日从私塾归来后，便会主动跑去帮疲惫的伯母接下照看伯父的差事。,他每日從私塾歸來後，便會主動跑去幫疲憊的伯母接下照看伯父的差事。,"Every day after returning from private school, he would voluntarily help his tired aunt by taking over the care of his uncle.",彼は毎日私塾から帰ると、疲れた伯母の代わりに率先して叔父の世話を手伝いに走った。,"Каждый день, возвращаясь из частной школы, он сам шёл помогать усталой тёще по уходу за дядей.",
,,,,,,,,,,默认8,,,,先是去厨房煎药，再端着盛药的碗跑到伯父床前，耐心地给伯父喂药。,先是去廚房煎藥，再端著盛藥的碗跑到伯父床前，耐心地給伯父喂藥。,"First, he would go to the kitchen to prepare the medicine, then carry the bowl to his uncle's bedside and patiently feed him the medication.",最初は台所で薬を煎じ、薬を盛った碗を抱えて叔父の床へ行き、辛抱強く叔父に薬を飲ませた。,"Сначала он варил лекарства на кухне, затем нёс чашку с лекарством к постели дяди и терпеливо кормил его."
,,,,,,,,,,默认9,,,,伯父有时会咳嗽着将药吐出，药渍沾上嘴角，方知宥便会拿起手帕帮他擦拭。,伯父有時會咳嗽著將藥吐出，藥漬沾上嘴角，方知宥便會拿起手帕幫他擦拭。,"Sometimes his uncle would cough and spit out the medicine, staining his lips; Fang Zhiyou would then wipe his uncle's mouth with a handkerchief.",叔父は時折咳き込みながら薬を吐き出し、薬の跡が口元につくと、方知宥はハンカチを取って拭いてやった。,"Иногда дядя кашлял и выплёвывал лекарство; когда лекарственная каша попадала ему на уголок рта, Фан Чжию брал платок и вытирал."
,,,,,,,,,,默认10,,,,伯父有时会做噩梦，他的手总会在做梦时伸出被褥、微微颤抖，指节发力，仿佛要抓取些什么。,伯父有時會做噩夢，他的手總會在做夢時伸出被褥、微微顫抖，指節發力，彷彿要抓取些什麼。,"His uncle would have nightmares, his hands would reach out from under the covers, trembling slightly, with his knuckles tensed as if trying to grasp something.",叔父は時折悪夢を見、そのときは手が布団の外へ伸び、微かに震え、指の節に力が入り、何かを掴もうとするようだった。,"Иногда дядя видел кошмары: во сне его рука высовывалась из-под одеяла, слегка дрожала, суставы пальцев напрягались, будто он что‑то схватывал."
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果3,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认11,,,,这时，方知宥便伸出手……他轻轻抚摸着伯父的手背，再而握住伯父的指节，尝试让他安心下来。,這時，方知宥便伸出手……他輕輕撫摸著伯父的手背，再而握住伯父的指節，嘗試讓他安心下來。,"At these times, Fang Zhiyou would extend his hand... He would gently stroke the back of his uncle's hand and then hold his fingers, trying to reassure him.",そのとき、方知宥は手を差し伸べ――彼はそっと叔父の手の甲を撫で、次に叔父の指節を握り、安心させようとした。,"В такие моменты Фан Чжию протягивал руку… он аккуратно гладил тыльную сторону руки дяди, затем брал за пальцы и пытался успокоить его.",
,,,,,,,,,,默认12,,,,伯父因他的抚慰不再那么害怕了。,伯父因他的撫慰不再那麼害怕了。,His uncle was no longer as fearful because of his comfort.,叔父は彼の慰めによってそれほど怖がらなくなった。,Благодаря его утешению дядя стал меньше бояться.,
,,,,,,,,,,默认13,,,,将死之人的手，比方知宥想象的要更柔软。,將死之人的手，比方知宥想像的要更柔軟。,The hand of a dying man was softer than Fang Zhiyou had imagined.,死にゆく人の手は、方知宥が想像していたよりもずっと柔らかかった。,"Руки у умирающего оказались намного мягче, чем Фан Чжию предполагал.",
,,,,,,,,,,默认14,,,,只有握住伯父的手时，他才能感受到他们是亲人的事实。,只有握住伯父的手時，他才能感受到他們是親人的事實。,Only when holding his uncle's hand could he feel the fact that they were family.,叔父の手を握るときだけ、彼は彼らが親族であるという事実を実感できた。,"Только держа руку дяди, он мог ощутить факт их родственной связи."
,,方伯父,,,,,,,,默认16,,方伯父/方伯父_1,,[宥儿……],[宥兒……],[You'er...],［宥児……］,«Чжую…»
,,,,,,,,,,默认17,,,,一日，伯父缓缓睁开了双眼，尽管他几乎要说不出话，胸口上下起伏，似乎用每一寸肌肤尽力呼吸着，他还是睁大眼睛望着自己这个本来不太懂事的侄子。,一日，伯父緩緩睜開了雙眼，儘管他幾乎要說不出話，胸口上下起伏，似乎用每一寸肌膚盡力呼吸著，他還是睜大眼睛望著自己這個本來不太懂事的侄子。,"One day, his uncle slowly opened his eyes, although he could hardly speak and his chest heaved up and down as if breathing with every inch of his skin, he still stared at his usually somewhat foolish nephew.",ある日、叔父はゆっくりと目を開けた。ほとんど言葉を発せないほどで、胸は上下に揺れ、肌の一寸一寸で必死に呼吸しているようだったが、それでも大きな目をして、もともとあまり分別のない甥を見つめた。,"Однажды дядя медленно открыл глаза. Хоть он уже почти не мог говорить и грудь его едва поднималась и опускалась, словно он изо всех сил дышал каждой клеточкой кожи, он всё же широко уставился на этого, по сути, несмышленого племянника.",
,,,,,,,,,,默认18,,,,他的眼中蕴含着亲情、欣慰、感怀……以及不舍。,他的眼中蘊含著親情、欣慰、感懷……以及不捨。,"His eyes held affection, relief, nostalgia... and reluctance to let go.",その目には親情、安堵、感慨……そして未練が宿っていた。,"В его глазах читались семейная привязанность, облегчение, трогательная благодарность… и неготовность расставаться.",
,,方伯父,,,,,,,,默认19,,方伯父/方伯父_2,,[光阴似箭啊……],[光陰似箭啊……],[Time flies indeed...],［光陰矢の如し……］,"«Время летит, как стрела…»",
,,,,,,,,,,默认20,,,,伯父反握住方知宥的手，眼角含泪却笑着从唇齿间挤出了一句感慨。,伯父反握住方知宥的手，眼角含淚卻笑著從唇齒間擠出了一句感慨。,"His uncle grasped Fang Zhiyou's hand in return, with tears in the corners of his eyes but smiling, he managed to squeeze out a感慨 from between his lips.",叔父は方知宥の手を反対に握り、目尻に涙を溜めながら笑って歯の間から感慨を絞り出した。,"Дядя сжал руку Фан Чжию в ответ, в уголках глаз блестели слёзы, и он с улыбкой выдавил из себя это сожаление сквозь зубы.",
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果4,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,ReInk2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认22,,,,不久后，方家伯父便去世了。,不久後，方家伯父便去世了。,"Not long after, Fang's uncle passed away.",間もなく、方家の叔父は亡くなった。,Вскоре дядя Фан умер.
,,,,,,,,,,默认23,,,,他的牌位摆在了方家的灵堂中，年幼的方知宥也为他守灵了数日，常在他的灵堂前长跪不起，向他倾诉心事。,他的牌位擺在了方家的靈堂中，年幼的方知宥也為他守靈了數日，常在他的靈堂前長跪不起，向他傾訴心事。,"His spirit tablet was placed in the Fang family's ancestral hall, and the young Fang Zhiyou also kept vigil for several days, often kneeling long before his spirit tablet, pouring out his heart.",その位牌は方家の霊堂に飾られ、幼い方知宥も数日間弔いを務め、しばしば霊堂の前に長く跪いては胸の内を語りかけた。,"Его табличка была поставлена в семейном зале памяти Фан, и малолетний Фан Чжию несколько дней дежурил у дома усопших, часто преклоняя колени перед алтарём и изливая свои чувства.",
,,,,,,,,,,默认24,,,,这个原本顽皮的孩童，仿佛在一夜之间便长大了。,這個原本頑皮的孩童，彷彿在一夜之間便長大了。,This once mischievous child seemed to have grown up overnight.,この元々やんちゃな子供は、まるで一夜にして大人になったかのようだった。,Этот прежде проказливый ребёнок словно повзрослел за ночь.,
,,,,,,,,,,默认25,,,,他不再爬树掏鸟窝，不再将水浒传偷偷夹在论语后面读，不再故意惹伯母生气。,他不再爬樹掏鳥窩，不再將水滸傳偷偷夾在論語後面讀，不再故意惹伯母生氣。,"He no longer climbed trees to rob bird nests, no longer hid the Outlaws of the Marsh between the pages of the Analects to read, and no longer deliberately angered his aunt.",彼はもう木に登って鳥の巣を漁ったり、『水滸伝』をこっそり『論語』の後ろに挟んで読んだり、伯母をわざと怒らせたりしなくなった。,"Он больше не лазил по деревьям, не вытаскивал птичьи гнёзда, не прятал «Водное крах» за «Лунью», чтобы тайком читать, и не дразнил тёщу нарочно.",
,,,,,,,,,,默认26,,,,伯母将这一切都看在眼里，逐渐觉得这个侄子没有那么令人讨厌了。,伯母將這一切都看在眼裡，逐漸覺得這個侄子沒有那麼令人討厭了。,His aunt saw all this and gradually found this nephew not so讨厌了.,伯母はそのすべてを目にし、次第にこの甥がそれほど嫌な存在ではないと感じるようになった。,Тёща видела всё это и постепенно перестала считать племянника таким уж неприятным.,
,,,,,,,,,,默认27,,,,伯母打消了原本的主意——她原想把那个姓“苏”的未过门的小妾卖去青楼，但想了想总是有些辱没方家门楣。,伯母打消了原本的主意——她原想把那個姓「蘇」的未過門的小妾賣去青樓，但想了想總是有些辱沒方家門楣。,"Auntie dispelled her original intention - she had planned to sell the concubine surnamed 'Su' to a brothel, but after some thought, she realized it would tarnish the Fang family's reputation.",伯母は元々の考えを取り下げた――彼女は「蘇」という姓のまだ入門していない小妾を青楼に売ろうと思っていたが、よく考えると方家の面目を損ねる気がしたのだ。,"Она отбросила прежний план — сначала она хотела продать ту служанку по фамилии Су в бордель, но потом подумала, что это позор для семьи Фан."
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果5,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认28,,,,既然侄子懂事了，不整天惦记那个女孩了，就把她也接到方园来住吧。,既然侄子懂事了，不整天惦記那個女孩了，就把她也接到方園來住吧。,"Now that my nephew has grown懂事 and no longer pines for that girl all the time, let's bring her to live in the Fang estate as well.",甥が分別を弁え、あの少女のことを日々思い煩わなくなったのなら、彼女も方園に迎え入れよう。,"Раз уж племянник повзрослел и больше не думает о той девушке день и ночь, пусть привезут её жить в Фан-юань."
,,,,,,,,,,默认29,,,,或许是自己多想了……,或許是自己多想了……,Perhaps I'm overthinking it…,多分自分の取り越し苦労に過ぎなかったのだろう……,"Возможно, она зря волновалась…"
,,,,,,,,,,默认30,,,,两个不懂事的小娃子之间，能有什么事呢？,兩個不懂事的小娃子之間，能有什麼事呢？,What could two foolish kids possibly have between them?,分別のない二人の子供同士、何が起きるというのか？,Что могло случиться между двумя ещё детьми?,
,,,,,,,,,,默认301,,,,……,……,...,……,…,
,StopVoice,,,,,,1,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认32,,,,正如伯父临终前所说的“光阴似箭”，时光匆匆而过，不经意间便又过了一两年。,正如伯父臨終前所說的「光陰似箭」，時光匆匆而過，不經意間便又過了一兩年。,"Just as Uncle said before he passed, 'Time flies like an arrow,' and before I knew it, a year or two had passed.",叔父が臨終に言った「光陰矢の如し」の通り、時は速やかに過ぎ去り、いつの間にかまた一、二年が過ぎていた。,"Как дядя сказал умирая: «время летит, как стрела», — годы пролетели незаметно, и прошёл ещё год или два.",
,,,,,,,,,,默认33,,,,方知宥与苏连雁一直生活在方园内。,方知宥與蘇連雁一直生活在方園內。,Fang Zhiyou and Su Lianyan have always lived within the Fang estate.,方知宥と蘇連雁はずっと方園で暮らしていた。,Фан Чжию и Су Ляньян всё это время жили в Фан-юань.,
,,,,,,,,,,默认34,,,,他们时而一起学习，时而一起玩耍。,他們時而一起學習，時而一起玩耍。,"They sometimes studied together, sometimes played together.",二人は時に共に学び、時に共に遊んだ。,"Они то вместе учились, то вместе играли."
,,,,,,,,,,默认35,,,,起初，伯母将他们俩看管得紧，久而久之便不再那么严了。,起初，伯母將他們倆看管得緊，久而久之便不再那麼嚴了。,"Initially, Auntie kept a close watch on them both, but over time, she became less strict.",初めは伯母が二人を厳しく監督していたが、次第にそれほど厳しくなくなった。,"Поначалу тёща строго их контролировала, но со временем стала мягче."
,,,,,,,,,,默认36,,,,两人的关系越来越像亲姐弟，伯母虽有些不愿，但也默默认同了这种转变。,兩人的關係越來越像親姐弟，伯母雖有些不願，但也默默同意了這種轉變。,"Their relationship gradually became more like that of siblings, and even though Auntie was somewhat reluctant, she silently accepted this change.",二人の関係はますます実の兄妹のようになり、伯母は多少の不満はあれど、この変化を黙って受け入れた。,"Их отношения всё больше напоминали настоящих брата и сестру; хоть тёща и не была в восторге, она молча приняла это изменение."
,,,,,,,,,,默认38,,,,伯父亡故后，伯母对府里的各种事项看得更紧了。,伯父亡故後，伯母對府裡的各種事項看得更緊了。,"After Uncle's death, Auntie became even stricter with the household affairs.",叔父が亡くなってから、伯母は屋敷の諸事をより厳しく見守るようになった。,После смерти дяди тёща ещё строже следила за делами дома.,
,,,,,,,,,,默认39,,,,她谨慎持家，打点着园里每日的吃穿用度，偶尔也会让方知宥一同帮忙。,她謹慎持家，打點著園裡每日的吃穿用度，偶爾也會讓方知宥一同幫忙。,"She managed the household carefully, taking care of daily necessities, and occasionally had Fang Zhiyou help out.",彼女は家計を慎重に切り盛りし、園内の日々の衣食に気を配り、時折方知宥にも手伝わせた。,"Она бережно вела домашнее хозяйство, смотрела за повседневными расходами в саду, иногда привлекала Фан Чжию помочь.",
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果6,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,ReInk2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认40,,,,一日，因方家有一位老仆告病回乡，管家提议大概需要新招一名仆人了。,一日，因方家有一位老僕告病回鄉，管家提議大概需要新招一名僕人了。,"One day, due to an elderly servant falling ill and returning to their hometown, the steward suggested that a new servant might need to be hired.",ある日、方家の老僕が病を理由に故郷へ帰ることになり、執事は新たに一人召し使いを雇う必要があると提案した。,Однажды старый слуга в семье Фан заболел и вернулся в родные края; управляющий предложил принять на службу нового слугу.,
,,,,,,,,,,默认41,,,,伯母便动了再买一个年轻丫鬟的念头，好为方家再添一个能做事的人手——,伯母便動了再買一個年輕丫鬟的念頭，好為方家再添一個能做事的人手——,Auntie then had the idea of buying a young maid to add to the Fang family's workforce.,伯母は若い侍女をもう一人買い入れて方家の働き手を増やすことを思い立ち――,"Тёща решила купить ещё одну молодую горничную, чтобы пополнить рабочую силу Фан-юаня —",
,,,,,,,,,,默认42,,,,她派出了管家去“人牙行”一趟，去买一名新丫鬟进方家。,她派出了管家去「人牙行」一趟，去買一名新丫鬟進方家。,She sent the steward to the 'slave market' to purchase a new maid for the Fang family.,彼女は執事を「人牙行」へ遣わし、新しい侍女を買い入れるよう命じた。,"она послала управляющего в «Человеческий зубный дом» (рынок), чтобы купить новую горничную для семьи Фан.",
,,,,,,,,,,默认43,,,,方知宥听了后，好奇地凑了上来，也想随管家同去。,方知宥聽了後，好奇地湊了上來，也想隨管家同去。,"Upon hearing this, Fang Zhiyou curiously approached and wanted to go with the steward.",方知宥はその話を聞いて好奇心から近づき、執事に同行したいと言った。,"Услышав об этом, Фан Чжию из любопытства подошёл и захотел пойти с управляющим."
,,,,,,,,,,默认44,,,,伯母起初不愿，认为以方知宥的年纪不该去那个地方，,伯母起初不願，認為以方知宥的年紀不該去那個地方，,"Auntie initially refused, thinking that Fang Zhiyou was too old to go to such a place.",伯母は当初、方知宥の年齢ではあの場所へ行くべきではないと考え渋ったが、方知宥の繰り返す説得と懐柔に拗ね負け、ついに執事と共に行くことを許した。,"Тёща сначала не хотела — считала, что по возрасту Фан Чжию не место в таком месте,"
,,,,,,,,,,默认45,,,,然而，在方知宥的反复劝说加讨好下，终于拗不过他，同意了他跟着管家一同去。,然而，在方知宥的反覆勸說加討好下，終於拗不過他，同意了他跟著管家一同去。,"However, after Fang Zhiyou's repeated persuasion and cajoling, she finally relented and agreed to let him go with the steward.",,но под настойчивыми уговорами и льстивыми словами Фан Чжию она уступила и позволила ему пойти с управляющим.,
,,,,,,,,,,默认47,,,,“人牙行”位于城南一条逼仄的小巷中，靠近西商街。,「人牙行」位於城南一條逼仄的小巷中，靠近西商街。,"The 'slave market' was located in a narrow alley in the southern part of the city, near the Western Merchant Street.",,"«Человеческий зубный дом» находился в узкой улочке к югу от города, близ Западной торговой улицы.",
,Se,推门,,,,,,,,,,,,,,,,,
,CharacterOff,,,,,,2,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,如果7,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,Ink2,,Linear,,2,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Bgm,翩翩如此,,,,2,1,,,,,,,,,,,
,,,,,,,,,,默认48,,,,管家和方知宥一同踏过泥泞，掠过一个个警惕地望着四周的人，推开了那扇虚掩着的木门。,管家和方知宥一同踏過泥濘，掠過一個個警惕地望著四周的人，推開了那扇虛掩著的木門。,"Accompanied by the steward, Fang Zhiyou stepped through the muddy ground and past people warily looking around them, pushing open the slightly ajar wooden door.",,"Управляющий и Фан Чжию шагали по грязи, проскользнув мимо людей, настороженно оглядывающихся по сторонам, и толкнули приоткрытую деревянную дверь.",
,,悔儿母亲,,,,,,,,默认49,,翩翩母亲/翩翩母亲_1,,[哭什么哭！老娘我十四的时候也在柳巷了！没你这么矫情！],[哭什麼哭！老娘我十四的時候也在柳巷了！沒你這麼矯情！],"[Stop crying! When I was fourteen, I was already in Liu Alley! You're not as delicate as all that!]",,«Почему плачешь! Я сама в четырнадцать лет уже была на Люсян! Не будь такой жалкой!»,
,,,,,,,,,,默认50,,,,他们刚一进门，便听到了不远处传来了一声吆喝声。,他們剛一進門，便聽到了不遠處傳來了一聲吆喝聲。,"As soon as they entered, they heard a shout from not too far away.",,"Как только они вошли, откуда‑то раздался крик.",
,,,,,,,,,,默认51,,,,方知宥向前望去，一个涂着厚厚脂粉、鬓边有着蝴蝶发簪的妇人，正在训斥一个小女孩。,方知宥向前望去，一個塗著厚厚脂粉、鬢邊有著蝴蝶發簪的婦人，正在訓斥一個小女孩。,Fang Zhiyou looked ahead and saw a woman with thick makeup and a butterfly hairpin scolding a little girl.,,Фан Чжию посмотрел вперёд: женщина с толстым слоем белил и с бабочковой шпилькой в виске отчитывала маленькую девочку.,
,,,,,,,,,,默认52,,,,那小女孩看着和方知宥差不多大。,那小女孩看著和方知宥差不多大。,The little girl was about the same age as Fang Zhiyou.,,"Та девочка выглядела примерно того же возраста, что и Фан Чжию."
,,,,,,,,,,默认53,,,,她穿着破烂的翠色衣服，身材瘦弱得像是一根豆芽菜。,她穿著破爛的翠色衣服，身材瘦弱得像是一根豆芽菜。,"She wore tattered green clothes, her frail body looking like a sprout of bean sprouts.",,"Она была одета в оборванное зелёное платье, худенькая, как росток."
,,,,,,,,,,默认54,,,,她的头发遮住了一只眼睛，但露出来的那只眼睛却大得出奇，里面盛满了惊恐与泪光。,她的頭髮遮住了一隻眼睛，但露出來的那隻眼睛卻大得出奇，裡面盛滿了驚恐與淚光。,"Her hair covered one eye, but the eye that was visible was abnormally large, filled with fear and tears.",,"Её волосы закрывали один глаз, а другой был необычайно широко раскрыт, полон ужаса и слёз."
,,悔儿母亲,,,,,,,,默认55,,翩翩母亲/翩翩母亲_2,,[这丫头！卖五十两银子！],[這丫頭！賣五十兩銀子！],[This girl! Sold for fifty taels of silver!],,«Эту девочку! Продаю за пятьдесят таэлей!»,
,,,,,,,,,,默认56,,,,那妇人扯着嗓子，朝她身前的牙婆喊着。,那婦人扯著嗓子，朝她身前的牙婆喊著。,"The woman shouted loudly, yelling at the toothless old woman in front of her.",,Женщина крикнула и обратилась к посреднице.,
,,牙婆,,,,,,,,默认57,,牙婆/牙婆_1,,[呵呵，你从哪弄来的？],[呵呵，你從哪弄來的？],"[Hehe, where did you get this from?]",,"«Ха‑ха, откуда ты её взяла?»",
,,,,,,,,,,默认58,,,,屋里的牙婆笑了笑，眯着眼睛问她。,屋裡的牙婆笑了笑，眯著眼睛問她。,The matchmaker in the room smiled and asked her with squinted eyes.,,"Посредница в доме усмехнулась, прищурив глаза.",
,,悔儿母亲,,,,,,,,默认59,,翩翩母亲/翩翩母亲_3,,[我生得，自己养了十四年。],[我生得，自己養了十四年。],"[I gave birth to her, and I've raised her for fourteen years.]",,«Я родила её и вырастила четырнадцать лет сама».,
,,牙婆,,,,,,,,默认60,,牙婆/牙婆_2,,[呵呵……自己的女儿你也卖？你可知卖到我们这的，多半之后要被卖去柳巷？],[呵呵……自己的女兒你也賣？你可知賣到我們這的，多半之後要被賣去柳巷？],[Heh... You're selling your own daughter? Do you know that most of those sold to us end up being sold to Liu Alley?],,"«Ха‑ха… Ты свою дочь продаёшь? Ты знаешь, что тех, кого продают нам, чаще всего перепродают в бордели на Люсяне?»",
,,悔儿母亲,,,,,,,,默认61,,翩翩母亲/翩翩母亲_4,,[知道……柳巷有什么呆不惯的……我也呆过……她能吃苦，能吃的……],[知道……柳巷有甚麼呆不慣的……我也呆過……她能吃苦，能吃的……],"[I know... What's there to be unaccustomed to in Liu Alley... I've been there too... She can endure hardship, she can handle it...]",,"«Я знаю… что в Люсяне трудно… я там тоже когда‑то была… Она сможет терпеть, сможет есть…»",
,,,,,,,,,,默认62,,,,妇人抿着唇，咬着牙说道。,婦人抿著唇，咬著牙說道。,"The woman said through clenched teeth, biting her lip.",,Женщина стиснула губы и сказала сквозь зубы.
,,,,,,,,,,默认63,,,,她虽然因将女儿卖入柳巷而有些痛苦，但因生计艰难，还是没打算改变主意。,她雖然因將女兒賣入柳巷而有些痛苦，但因生計艱難，還是沒打算改變主意。,"Although she was pained by the thought of selling her daughter into Liu Alley, due to difficult living conditions, she still didn't plan to change her mind.",,"Хотя ей больно продавать дочь в Люсян, из‑за бедности она не намеревалась менять решение."
