#SHEET_NAME,记-第十三回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,,,,,,,,,,默认14,,,,他面容扭曲，双手在空中乱抓，宛若溺水之人正在乞求救援。,他面容扭曲，雙手在空中亂抓，宛若溺水之人正在乞求救援。,"His face contorted as his hands clawed wildly at the air, like a drowning man begging for rescue.",顔は歪み、溺れた者が助けを求めるかのように、両手を空中でばたつかせている。,"Лицо его было искажено, руки беспорядочно хватались за воздух, словно у утопающего, зовущего на помощь."
,,方知宥,,,,,,,,默认15,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认16,,,,良叔啊，良叔！,良叔啊，良叔！,"Uncle Liang, oh Uncle Liang!",良さんときたら困ったものだ！,"Эх, дядюшка Лян, дядюшка Лян!"
,,,,,,,,,,默认17,,,,我明明正梦到关键的地方，却被你给打断了！,我明明正夢到關鍵的地方，卻被你給打斷了！,I was right in the middle of an important dream when you interrupted me!,大事なところだったのに、夢が中断されてしまった！,Мне же снился такой важный момент - а ты мне всё прервал!
,,,,,,,,,,默认18,,,,这使我的拳头硬了，十指攥起扣着手心，想要积蓄力量给出重重的一拳……,這使我的拳頭硬了，十指攥起扣著手心，想要積蓄力量給出重重的一拳……,"This made my fists clench, fingers digging into my palms as I gathered strength for a heavy punch...",不機嫌のあまり、十本の指をきつく握った拳で、思いきり一撃をかましてやろうと思ったが……,"Рука моя сжалась в кулак, пальцы впились в ладонь, желая набрать силу и направить её в удар..."
,,方知宥,,,,,,,,默认19,,,,[……],[……],"""...""",「……」,"""..."""
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认20,,,,不过，我很快便泄了气，松开了拳。,不過，我很快便洩了氣，鬆開了拳。,But I quickly lost my temper and unclenched my fist.,すぐに毒気を抜かれ、拳を緩めた。,Но я быстро унял гнев и разжал кулак.
,,,,,,,,,,默认21,,,,我是一位知恩图报的人。,我是一位知恩圖報的人。,I was someone who repays kindness with gratitude.,私とて恩知らずではない。,"Я же всё-таки человек, который умеет быть благодарным."
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,方知宥,,,,,,,,默认28,,方知宥/23_方知宥_02,,[良叔，怎么了？],[良叔，怎麼了？],"""Uncle Liang, what's wrong?""",「良さん、大丈夫か？」,"""Дядюшка Лян, что случилось?"""
,,,,,,,,,,默认29,,,,我凑近他身侧，伸手轻轻推了推他的肩膀。,我湊近他身側，伸手輕輕推了推他的肩膀。,I moved closer to his side and gently nudged his shoulder.,彼の傍に行き、肩をそっとゆする。,Я подошёл к нему и слегка потряс за плечо.
,,,,,,,,,,默认30,,,,他显然正被噩梦纠缠，既然如此，不如让我来帮他醒来，脱离苦海。,他顯然正被噩夢糾纏，既然如此，不如讓我來幫他醒來，脫離苦海。,"He was clearly trapped in a nightmare. In that case, why not help him wake up and free him from this torment?",悪夢にうなされているのなら、彼を目覚めさせて苦しみから抜け出させてやればいい。,"Раз уж его мучают кошмары, лучше будет ему помочь вырваться из них."
,,良,<Off>,,,,,,,默认31,,良/23_良_03,,[别……别拦我！你！],[別……別攔我！你！],"""Don't...stop me! You!""",「よせ……邪魔をするな！このっ！」,"""Не надо... Не останавливай меня! А ну!"""
,,,,,,,,,,默认32,,,,他仍未转醒，额上渗出细密汗珠，呼吸急促。,他仍未轉醒，額上滲出細密汗珠，呼吸急促。,"He still hadn't woken up, with fine beads of sweat on his forehead and rapid breathing.",だがなかなか目を覚まさない。額に細かい汗をにじませて、はあはあと息を荒げている。,"Он всё ещё не просыпался, на лбу у него проступали капли пота, дыхание было сбивчивым."
,,方知宥,,,,,,,,默认33,,方知宥/32_方知宥_13,,[良叔！],[良叔！],"""Uncle Liang!""",「良さん！」,"""Дядюшка Лян!"""
,,,,,,,,,,默认34,,,,我提高声量，手上也加了些力道。,我提高聲量，手上也加了些力道。,I raised my voice and shook him more firmly.,さらに声を張り上げ、力を強めて呼びかける。,Я повысил голос и вложил в руку больше силы.
,,良,<Off>,,,,,,,默认35,,良/23_良_04,,[啊……呃！],[啊……呃！],"""Ah...ugh!""",「ぐ……はっ！」,"""Ах... Ух!"""
,,,,,,,,,,默认36,,,,良叔被我这次一晃，终于从睡梦中醒来，蓦地睁开了双眼。,良叔被我這次一晃，終於從睡夢中醒來，驀地睜開了雙眼。,"Finally shaken awake by me, Uncle Liang suddenly opened his eyes, roused from his slumber.",ようやく良が揺れで目を覚まし、かっと目を見開いた。,"От моего толчка дядюшка Лян, наконец, пробудился, резко раскрывая глаза."
,,良,,,,,,,,默认37,,,,[……],[……],"""...""",「……」,"""..."""
,Shake,良,,x=50 y=25 time=0.3,,,NoWait,,,,,,,,,,,
,Bg,四艺堂小间冷清,,,,,,,,,,,,
,,,,,,,,,,默认38,,,,他猛地从床上坐起，目光发直，怔怔望向前方。,他猛地從床上坐起，目光發直，怔怔望向前方。,"He abruptly sat up in bed, staring blankly straight ahead.",そのままがばりと起き上がると、ぼんやりと前を見つめる。,Он подскочил на кровати и остолбенело уставился вперёд.
,,方知宥,,,,,,,,默认39,,方知宥/23_方知宥_03,,[良叔，你是不是做噩梦了？],[良叔，你是不是做噩夢了？],"""Uncle Liang, did you have a nightmare?""",「良さん、ずいぶんうなされていたが、悪夢でも見たのか？」,"""Дядюшка Лян, Вам сейчас кошмар какой-то снился?"""
,,,,,,,,,,默认40,,,,我见他神志已清，便出声询问。,我見他神志已清，便出聲詢問。,"Seeing he had regained clarity, I asked him.",意識を取り戻したところで、彼に問いかける。,"Видя, что он пришёл в себя, спросил я его."
,,良,无奈叹息,,,,,,,默认41,,良/23_良_05,,[是……],[是……],"""Yes...""",「ああ……」,"""Да..."""
,,良,通常,,,,,,,,,,,
,,,,,,,,,,默认42,,,,他闭了闭眼，复又睁开，缓缓吐出一口气，语气平静。,他閉了閉眼，復又睜開，緩緩吐出一口氣，語氣平靜。,"He closed his eyes briefly, then reopened them, exhaling slowly before speaking in a calm tone.",彼はいったん目を閉じ、もう一度開くと、ゆっくりと息を吐き出した。口調は平静に戻っている。,"Он закрыл глаза, потом открыл их снова, сделал медленный выдох, тон его речи был спокойным."
,,方知宥,,,,,,,,默认43,,方知宥/23_方知宥_04,,[梦见什么了？],[夢見什麼了？],"""What did you dream about?""",「どんな夢を見た？」,"""И что Вам снилось?"""
,,,,,,,,,,默认44,,,,我好奇地追问。,我好奇地追問。,I pressed curiously.,少し気になり、訊いてみた。,Полюбопытствовал я.
,,良,无奈叹息,,,,,,,默认45,,良/23_良_06,,[我看见……我在杀人……杀了许多本不该杀的人……我想上前阻止，却被那个“我”用定身术定在原地，只能眼睁睁看着……],[我看見……我在殺人……殺了許多本不該殺的人……我想上前阻止，卻被那個“我”用定身術定在原地，只能眼睜睜看著……],"""I saw... myself killing people... so many who shouldn’t have died... I tried to intervene, but that ""me"" used a binding spell to freeze me in place, leaving me powerless to watch...""",「自分が人を殺すのを……見ていた……殺すべきでない者を大勢殺していたんだ……止めようとしたが、あっちの『俺』に<ruby=金縛り>定身術</ruby>をかけられ、ただ見ていることしかできなかった……」,"""Я видел... самого себя, убивающего людей... убивающего тех, кого не надо было убивать... Я попытался остановить это, но тот 'я' приковал меня на месте заклинанием, так что я мог лишь стоять и смотреть на всё это..."""
,,,,,,,,,,默认46,,,,良叔一边说着，一边蹙眉凝视虚空，仿佛仍在梦中。,良叔一邊說著，一邊蹙眉凝視虛空，彷彿仍在夢中。,"Uncle Liang frowned, staring blankly as if still reliving the dream.",まだ夢の中にいるかのように、虚空を凝視しながらそう言う良。,"Говорил дядюшка Лян, нахмуренно уставившись в пустоту, словно ещё не отошёл от сна."
,,,,,,,,,,默认47,,,,定身术？没想到梦里的良叔，竟有孙悟空定七仙女的能耐。,定身術？沒想到夢裡的良叔，竟有孫悟空定七仙女的能耐。,Binding spell? Who knew dream-Uncle Liang could pull off Sun Wukong’s trick of paralyzing the Seven Fairies.,定身術？孫悟空が七人の仙女を封じた技を、良も使えるとは。,"Приковал на месте заклинанием? Кто бы мог подумать, что у дядюшки Ляна во сне будет способность, как у Сунь Укуна, когда тот заставил застыть на месте семь небесных дев."
,,,,,,,,,,默认48,,,,不过于我而言，在“狮驼国”里穿行救人的良叔，倒是本就像孙悟空了。,不過於我而言，在“獅駝國”裡穿行救人的良叔，倒是本就像孫悟空了。,"But to me, Uncle Liang, who journeyed through the ""Lion Camel Kingdom"" to rescue others, seemed more like Sun Wukong.",とは言うものの、「獅駝国」で人を救っていた良は、私から見ればまさに孫悟空のようだった。,"Хотя, если уж на то пошло, путешествующий по ""Королевству Льва и Верблюда"" и спасающий людей дядюшка Лян изначально был прямо как Сунь Укун."
,,方知宥,,,,,,,,默认49,,方知宥/23_方知宥_05,,[你怎么会做这种杀人的梦？],[你怎麼會做這種殺人的夢？],"""How could you have such a murderous dream?""",「どうしてそんな、人を殺すような夢を？」,"""Почему Вы убивали людей во сне?"""
,,,,,,,,,,默认50,,,,我忍住打趣良叔的冲动，继续询问他。,我忍住打趣良叔的衝動，繼續詢問他。,I suppressed the urge to joke with Uncle Liang and pressed on with my questions.,良への興味がこらえきれず、続けざまに問う。,"Не сказав свою шутку вслух, я продолжил расспрашивать дядюшку Ляна."
,,良,通常,,,,,,,默认51,,良/23_良_07,,[因为从前的我……的确杀过很多人。不只杀过恶人，也有……至今仍让我悔恨的好人。],[因為從前的我……的確殺過很多人。不只殺過惡人，也有……至今仍讓我悔恨的好人。],"""Because long ago... I truly did kill many people. Not just evildoers, but also... innocent ones I still deeply regret.""",「昔の俺は……多くの者を殺してきたからな。悪人だけじゃない……今でも殺したことを悔やむような善人だって、殺した」,"""Потому что в своё время я... действительно убил множество людей. Не только злых - были среди них и хорошие люди... о чьём убийстве я сожалею и по сей день."""
,,,,,,,,,,默认52,,,,他的语气依旧平稳，却透着一丝不易察觉的沉重。,他的語氣依舊平穩，卻透著一絲不易察覺的沉重。,"His voice stayed calm, yet held a faint but unmistakable weight.",口調こそ穏やかだったが、ほんのわずかに重苦しさがにじみ出ていた。,"Его тон продолжал оставаться ровным, но в него добавилась нотка едва уловимой тяжести."
,,方知宥,,,,,,,,默认53,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认54,,,,我微微一怔，没料到他如此坦白，也不怕吓着我。,我微微一怔，沒料到他如此坦白，也不怕嚇著我。,"I froze momentarily, unprepared for his blunt admission—or his disregard for frightening me.",少し驚いた。私が恐れるのではないかと心配することなく、こうもあっさり話してくれるとは。,"Я слегка оторопел - не ожидал, что он будет так честен со мной, не боясь меня напугать."
,,,,,,,,,,默认55,,,,不过对良叔曾有这般过往，我并不意外，他早先就隐约提过。,不過對良叔曾有這般過往，我並不意外，他早先就隱約提過。,Yet I wasn't shocked by Uncle Liang's dark history; he'd alluded to it before.,とはいえ、前々から仄めかしていたため、そのような過去があることが意外ではなかった。,Но это откровение дядюшки Ляна о своём прошлом не стало для меня сюрпризом - ведь он и так намекал на это раньше.
,,,,,,,,,,默认56,,,,他说救人是为了赎罪。,他說救人是為了贖罪。,He said saving people was his way of atoning for sins.,人を救うのは贖罪だと彼は言っていた。,"Он ведь говорил, что спасает людей ради искупления своей вины."
,,,,,,,,,,默认57,,,,这罪，想必就是曾经滥杀无辜罢。,這罪，想必就是曾經濫殺無辜罷。,This sin must have been his past slaughter of innocents.,その罪とは、きっと罪なき人を殺してしまった罪なのだろう。,А виной этой наверняка как раз было убийство невинных людей в прошлом.
,,良,好奇,,,,,,,默认58,,良/23_良_08,,[我刚才说梦话，吵醒你了？],[我剛才說夢話，吵醒你了？],"""Did my sleep-talking wake you?""",「寝言で起こしてしまったか？」,"""Я что, говорил во сне и разбудил тебя?"""
,,,,,,,,,,默认59,,,,我正默默想着，他却主动开口。,我正默默想著，他卻主動開口。,I was lost in thought when he unexpectedly spoke.,私が黙り込んでいると、彼の方から口を開いた。,"Я молчал, и дядюшка Лян решил задать вопрос сам."
,,方知宥,,,,,,,,默认60,,方知宥/23_方知宥_06,,[是啊，你搅了我的好梦……本来我在梦中还能同她多说几句话的……],[是啊，你攪了我的好夢……本來我在夢中還能同她多說幾句話的……],"""Yes, you interrupted my wonderful dream... I could've talked with her longer...""",「ああ、せっかくいい夢を見ていたのに……夢の中で彼女ともっと話せたはずが……」,"""Да, Вы мне прервали один хороший сон... Так бы я, может, смог ещё с ней немного поговорить..."""
,,,,,,,,,,默认61,,,,我无奈地叹了一口气，却在叹气间忽然意识到什么。,我無奈地嘆了一口氣，卻在嘆氣間忽然意識到什麼。,"I sighed resignedly, then caught myself mid-sigh with sudden realization.",やるせなく溜息をついたものの、その溜息でふとあることを思い出した。,Бессильно вздохнул я - и тут же вспомнил кое о чём.
,CharacterOff,,,,,,1,,,,,,,
,,,,,,,,,,默认62,,,,咦？,咦？,Eh?,おや？,М-м-м?
,,,,,,,,,,默认63,,,,小雁儿的幻觉……去哪儿了？,小雁兒的幻覺……去哪裡了？,Little Yan's hallucination... where had it gone?,小雁の幻覚は……どこにいった？,А где... иллюзия Лебёдушки?
,,,,,,,,,,默认64,,,,我猛地转头，朝身后某处望去。,我猛地轉頭，朝身後某處望去。,I whipped my head around to look behind me.,ぐるりと振り返り、後ろの方を見る。,Я обернулся и посмотрел у себя за спиной.
,,小雁儿,睡觉,,,,,,,默认65,,小雁儿/23_小雁儿_01,,[呼……呼……],[呼……呼……],"""Huff... Huff...""",「……すう……すう……」,"""Ф-ф... Ф-ф..."""
,,,,,,,,,,默认66,,,,她正侧卧在不远之处，呼吸平稳，睡得正熟。,她正側臥在不遠之處，呼吸平穩，睡得正熟。,"She lay curled nearby, breathing evenly in sound sleep.",彼女は少し離れたところで、相変わらずすやすやと眠りこけていた。,"Она лежала неподалёку на боку и крепко спала, дыхание её было ровным."
,,方知宥,,,,,,,,默认67,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认68,,,,还在。,還在。,Still here.,まだ。,Она ещё здесь.
,,,,,,,,,,默认69,,,,她的幻影尚未消失。,她的幻影尚未消失。,Her phantom hasn't vanished yet.,幻覚は消えていなかったか。,Её иллюзия никуда не исчезла.
,,良,笑,,,,,,,默认70,,良/23_良_09,,[怎么？又在看那个小女娃？］,[怎麼？又在看那個小女娃？］,"""What? Looking at that little girl again?""",「どうした？またがきを見てるのか？」,"""Что такое? Опять тебе видится та девочка?"""
,,,,,,,,,,默认71,,,,良叔淡笑了一声问道。,良叔淡笑了一聲問道。,Uncle Liang gave a faint chuckle and asked.,良がからっと笑いながらそう訊いた。,"Усмехнувшись, спросил дядюшка Лян."
,,方知宥,,,,,,,,默认72,,方知宥/23_方知宥_07,,[是。］,[是。］,"""Yes.""",「ああ」,"""Да."""
,,良,,,,,,,,默认73,,良/23_良_10,,[呵，她这会儿在做什么？睡觉？还是在看着我们？］,[呵，她這會兒在做什麼？睡覺？還是在看著我們？］,"""Heh, what's she doing now? Sleeping? Or watching us?""",「ふっ、今は何をしてるんだ？寝てるのか？それともこっちを見てるのか？」,"""Хе, и что она сейчас делает? Спит? Или смотрит на нас?"""
,,方知宥,,,,,,,,默认74,,方知宥/23_方知宥_08,,[良叔，你就别取笑我了，幻觉做的事，你那么关心做甚么……对了，不知现在是什么时辰，我们是不是该动身了？］,[良叔，你就別取笑我了，幻覺做的事，你那麼關心做什麼……對了，不知現在是什麼時辰，我們是不是該動身了？］,"""Uncle Liang, stop teasing me. Why care so much about a hallucination... Anyway, what time is it? Shouldn't we get going?""",「良さん、いい加減からかうのはよしてくれ。幻覚について根掘り葉掘り聞いてどうする……そうだ、今が何時かわからないが、そろそろ動くか？」,"""Дядюшка Лян, да Вы уж не смейтесь надо мной, к чему Вам знать, что там делает эта иллюзия... А, кстати, какая сейчас стража? Не пора ли нам выдвигаться?"""
,,,,,,,,,,默认75,,,,我尴尬地笑了笑，继而突然想起时辰，询问良叔。,我尷尬地笑了笑，繼而突然想起時辰，詢問良叔。,"I laughed awkwardly, then suddenly remembered the time and asked Uncle Liang.",頭をかきながら笑うと、時間のことを思い出し、良に聞いてみる。,"Неловко улыбнулся я, а потом вдруг вспомнил про время и спросил об этом у дядюшки Ляна."
,,良,通常,,,,,,,默认76,,良/23_良_11,,[这屋里没窗，看不出天色，我出去瞧瞧。］,[這屋裡沒窗，看不出天色，我出去瞧瞧。］,"""No windows in this room—can't tell the time. I'll check outside.""",「窓がなくて空の様子がわからないな。ちょっと見てくる」,"""Здесь окон нет, неба не видать - я пойду взгляну."""
,,方知宥,,,,,,,,默认77,,方知宥/23_方知宥_09,,[好。］,[好。］,"""Okay.""",「ああ」,"""Хорошо."""
,CharacterOff,,,,,,,,,,,,,
,,,,,,,,,,默认78,,,,良叔抛下一句话后，便推门而出，往屋外走去了。,良叔拋下一句話後，便推門而出，往屋外走去了。,"After uttering those words, Uncle Liang pushed the door open and walked out.",良はそう言い残すと、扉を開いて外の様子を見に行った。,"Сказав это, дядюшка Лян толкнул дверь и вышел наружу."
,,,,,,,,,,默认79,,,,我本打算也跟着他，却先想到了什么，止了步。,我打算也跟著他往外出去，卻沒有立刻出去。,"I meant to follow him out, but hesitated.",私も一緒に行こうと思ったが、すぐには出なかった。,"Я хотел было пойти за ним, но на секунду остановился."
,,方知宥,,,,,,,,默认80,,,,[……],[……],"""...""",「……」,"""..."""
,,小雁儿,睡觉,,,,,,,,,,,
,,,,,,,,,,默认81,,,,我看了一眼此时在熟睡的小雁儿。,我看了一眼此時在熟睡的小雁兒。,"I glanced at Little Yan, who was fast asleep at that moment.",熟睡している小雁の方を見る。,Я взглянул на крепко спящую Лебёдушку.
,,,,,,,,,,默认82,,,,如果我就这么跟着良叔走了？她会怎样？,如果我就這麼跟著良叔走了？她會怎樣？,What if I just followed Uncle Liang and left? What would happen to her?,私が良について行ったら、彼女はどうなる？,"Если я сейчас уйду с дядюшкой Ляном, то что будет с ней?"
,,,,,,,,,,默认83,,,,会不会因离我太远而消失？,會不會因離我太遠而消失？,Would she disappear from being too far away?,離れすぎると消えてしまうだろうか？,"Исчезнет ли она из-за того, что я уйду слишком далеко?"
,,,,,,,,,,默认84,,,,不……既是我的幻觉，大概总会在某个时候突然醒来，唐突地同我说话罢。,不……既是我的幻覺，大概總會在某個時候突然醒來，唐突地同我說話罷。,"No... Since she's my hallucination, she'd probably just wake up suddenly someday and start talking to me out of nowhere.",いや……私の幻覚である以上、必ずどこかで目を覚まし、唐突に話しかけてくるに違いない。,Нет... Она же моя иллюзия - наверняка она в какой-то момент вдруг пробудится и резко заговорит со мной.
,,,,,,,,,,默认85,,,,那么，要叫醒她吗？,那麼，要叫醒她嗎？,Should I wake her up then?,ふむ、では今起こそうか？,Так нужно ли её будить?
,Selection,*叫醒小雁儿,,,,,,,,,,,,叫醒小雁儿,叫醒小雁兒,Wake Little Yan,小雁を起こす,Разбудить Лебёдушку
,Selection,*无视小雁儿,,,,,,,,,,,,无视小雁儿,無視小雁兒,Ignore Little Yan,無視する,Не обращать на неё внимания
,*无视小雁儿
,,,,,,,,,,默认86,,,,无视她吧。,無視她吧。,I'll ignore her.,無視しよう。,Не стану обращать на неё внимания.
,,,,,,,,,,默认87,,,,我略一思忖，决定不再在意自己的幻觉。,我略一思忖，決定不再在意自己的幻覺。,"After brief consideration, I resolved to disregard my hallucination.",少し考えた末、やはり幻覚のことは気にしないようにした。,"Поразмыслив, я решил больше не придавать значения своим иллюзиям."
,CharacterOff,,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认88,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认89,,,,我沉默地走出门，而刚迈出门一步时，却倏然停住。,我沉默地走出門，而剛邁出門一步時，卻倏然停住。,"I stepped out silently, but froze abruptly after just one step beyond the threshold.",黙って扉から出るか、一歩踏み出したところでふと足が止まった。,"Я молча пошёл на выход, но, сделав шаг, резко остановился."
,,,,,,,,,,默认90,,,,会不会因为我这次不叫她？她就永远消失了？,會不會因為我這次不叫她？她就永遠消失了？,Will it be because I didn't call her this time? Would she be gone forever?,私が起こさなかったせいで彼女が永遠に消えてしまうのだろうか。,"Не выйдет ли так, что из-за того, что я её не позову, она навсегда исчезнет?"
,,,,,,,,,,默认91,,,,缠人的幻觉如果消失了，不是对我来说正是好事吗？,纏人的幻覺如果消失了，不是對我來說正是好事嗎？,"If this persistent hallucination disappeared, wouldn't that actually be beneficial for me?",鬱陶しい幻覚が消えるのなら、それは喜ぶべきことではないか？,Но если преследующая меня иллюзия испарится - не будет ли это мне только на пользу?
,,方知宥,,,,,,,,默认92,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认93,,,,我这么想着，于是坚定了决心，终是抛下她出了门。,我這麼想著，於是堅定了決心，終是拋下她出了門。,"With this thought, I hardened my resolve and ultimately walked out, leaving her behind.",そこまで考えると、ついに決意を固め、彼女を置いて出て行くことにした。,"С этой мыслью я укрепился в своём решении и, оставив её позади, вышел наружу."
,,,,,,,,,,默认94,,,,……,……,...,……,"""..."""
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,四艺堂长廊夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,小雁儿,疲惫,,,,,,,默认95,,小雁儿/13分支_小雁儿_01,,[知宥！你竟然抛下我自己走了……我醒来后看不到你，闻着你的气味，才能追上来……周围的路我都不认得，你怎么这么狠心呀，呜呜呜……],[知宥！你竟然拋下我自己走了……我醒來後看不到你，聞著你的氣味，才能追上來……周圍的路我都不認得，你怎麼這麼狠心呀，嗚嗚嗚……],"""Zhiyou! You actually abandoned me... When I woke and couldn't find you, I had to follow your scent... I don't recognize any of these streets - how could you be so heartless, sob sob...""",「知宥！あたしを置いていくなんて……目が覚めたらいなかったから、匂いを追ってきたのよ……このあたりの道も全然分からないのに、どうしてそんなひどいことするの……ううっ……」,"""Чжию! Ты решил меня бросить и уйти один... Я проснулась, не увидела тебя, пошла по твоему запаху - и только так смогла тебя найти... Я же не знаю здесь дорогу, чего ты такой безжалостный, у-у-у-у..."""
,,方知宥,,,,,,,,默认96,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认97,,,,我走出门一会儿后，小雁儿还是追了上来。,我走出門一會後，小雁兒還是追了上來。,"After I stepped outside for a while, Little Yan still managed to catch up with me.",外に出てから少しすると、小雁が追いついてきた。,"Стоило мне какое-то время пройти, как Лебёдушка всё-таки нагнала меня."
,,,,,,,,,,默认98,,,,果然，我是无法甩开这个幻觉的。,果然，我是無法甩開這個幻覺的。,"As expected, I can't shake off this hallucination.",やはり、この幻覚を振り切ることはできないらしい。,"Похоже, мне не по силам отбросить эту иллюзию."
