#SHEET_NAME,聊斋
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_9,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_9,,,,,,,,,,,,,,,
,SetChapterName,聊斋,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,,2
,,,,,,,,,,默认1,,,,雨后，二十四桥静卧河水之上，两岸垂柳蘸水低垂。,雨後，二十四橋靜臥河水之上，兩岸垂柳蘸水低垂。,"After the rain, the Twenty-Four Bridges rested quietly over the river, with weeping willows on both banks dipping their branches toward the water.",雨上がりの川面には、二十四橋が静かに横たわり、両岸の柳が水面に浸るように低く垂れ下がっている。,"После дождя двадцать четыре моста тихо лежали над рекой, а ивы на обоих берегах склонялись к воде."
,,,,,,,,,,默认2,,,,柳丝将坠未坠，时而被风掠起，时而跌进河面，揉碎河中的倒影。,柳絲將墜未墜，時而被風掠起，時而跌進河面，揉碎河中的倒影。,"The willow strands seemed about to fall but never did, now swept up by the wind, now dropping onto the river’s surface, rippling the reflections within.",柳の枝は今にも落ちそうになりながら、時折風に揺られ、時には川面に落ち、水面に映る影を揺らめかせる。,"Ивовые ветви, словно готовые упасть, то поднимались под порывами ветра, то опускались на поверхность реки, размывая отражение в воде."
,,,,,,,,,,默认3,,,,在旁人眼中，此时河中的倒影大概仅有我一人。,在旁人眼中，此時河中的倒影大概僅有我一人。,"To others, the reflection in the water likely showed only me.",他人の目には、この時、川面に映る影は私一人しか見えないだろう。,"В глазах посторонних в это время в реке, наверное, был только я."
,,,,,,,,,,默认4,,,,但是，在我的眼中，始终有一抹紫白色的身影立于对面。,但是，在我的眼中，始終有一抹紫白色的身影立於對面。,"But in my eyes, there was always a purple-and-white figure standing opposite me.",しかし、私の目には、対岸に紫がかった白い人影がずっと立っている。,Но в моих глазах на противоположном берегу всегда стояла фигура в пурпурно-белом.
,,苏怜烟,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认5,,,,她的青丝如柳，随风起伏。,她的青絲如柳，隨風起伏。,Her dark hair swayed like willows in the wind.,彼女の黒髪は柳のようで、風に揺れている。,"Ее черные волосы, как ивы, колышутся на ветру."
,,,,,,,,,,默认6,,,,她的明眸如月，穿桥望来。,她的明眸如月，穿橋望來。,"Her bright eyes shone like the moon, gazing at me through the bridge.",彼女の澄んだ瞳は月のように、橋の向こうからこちらを見つめている。,"Ее ясные глаза, как луна, смотрят через мост."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认8,,,,一切本该尘埃落定。,一切本該塵埃落定。,Everything should have come to an end.,すべてはとっくに決着がついているはずだった。,Все должно было улечься.
,,,,,,,,,,默认9,,,,往后本该一人独行。,往後本該一人獨行。,"From now on, I should have walked alone.",これからは一人で歩むはずだった。,Впредь я должен был идти в одиночестве.
,,,,,,,,,,默认10,,,,可是……,可是……,Yet…,しかし……,Но…
,,,,,,,,,,默认11,,,,好不容易与她重逢。,好不容易與她重逢。,"Now that I have finally reunited with her,",せっかく彼女と再会できたのだ。,С таким трудом мы снова встретились.
,,,,,,,,,,默认12,,,,何必清醒负此深情？,何必清醒負此深情？,why let clarity betray such deep affection?,なぜ、この深い想いを捨てて、冷静にならなければならないのか？,Зачем же отказываться от этой глубокой любви?
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,Se,短风,,1.9,,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,——呼,——呼,—Whoosh,――はあ,— Вздох
,,,,,,,,,,默认15,,,,一阵微风掠过。,一陣微風掠過。,—A gust of wind swept by.,そよ風が吹き抜けた。,Пронесся легкий ветерок.
,,,,,,,,,,默认16,,,,我向前踏出几步——,我向前踏出幾步——,I took a few steps forward—,私は数歩前に踏み出した――,Я сделал несколько шагов вперед —
,FadeOut,black,,,,,1,,,,,,,,,,,
,Se,风声,,1.5,,,,,,,,,,,,,,
,,,,,,,,,,默认17,,,,——呼,——呼,—Whoosh,――ふっ,— Хм
,BgEvent,最后的拥抱1,,,,,,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,与雁同行,,,,0.2,3,,,,,,,,,,,
,Se,踏步,,2,,,,,,,,,,
,,,,,,,,,,默认18,,,,我不顾一切的向她跑来，裹着一阵携雨的风，将她拥入我的怀中——,我不顧一切的向她跑來，裹著一陣攜雨的風，將她擁入我的懷中——,"I ran towards her at all costs, wrapped in a gust of rain carrying wind, and embraced her into my arms——",私は彼女に向かって必死に走ってきて、雨を携えた風に包まれて、彼女を私の懐に押し込んだ。
,,,,,,,,,,默认19,,,,几年前，是她不舍与我分别，蓦然回首。,幾年前，是她不捨與我分別，驀然回首，擁入了我的懷中。,"Years ago, she was the one who couldn’t bear to part, turning back suddenly to embrace me.",数年前は、彼女が私との別れを惜しみ、振り返って私を抱きしめた。,"Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.","Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.",
,,方知宥,,,,,,,,默认39,,方知宥/35-2-1_方知宥_05,,[我们能做很多事呀，我们可以离开扬州，远离战乱，寻找一处安宁的地方……我会试着再写《狮驼国》，或是写一些别的书……],[我們能做很多事呀，我們可以離開揚州，遠離戰亂，尋找一處安寧的地方……我會試著再寫《獅駝國》，或是寫一些別的書……],"""We can do so much! We could leave Yangzhou, flee the war, and find somewhere peaceful... I’ll try rewriting 'Lion Camel Kingdom', or perhaps other stories...""",「何だってできるじゃないか。揚州を去って、戦乱から距離を置いて静かな所に引っ越すんだ……『獅駝国』をもう一度書くか、別の本でも……」,"""У нас может получиться многое - мы можем уйти из Янчжоу, уйти подальше от всей этой военной смуты, найти себе тихое место... Я опять попробую написать 'Королевство Льва и Верблюда' или какую-нибудь другую книгу...""","""У нас может получиться многое - мы можем уйти из Янчжоу, уйти подальше от всей этой военной смуты, найти себе тихое место... Я опять попробую написать 'Королевство Льва и Верблюда' или какую-нибудь другую книгу...""",
,,苏怜烟,,,,,,,,默认40,,,,[……］,[……］,"""...""",「……」,"""...""","""...""",
,,方知宥,,,,,,,,默认41,,方知宥/35-2-1_方知宥_06,,[雁儿姐，这几日东虏屠城，我许多次都快要死了，是你的出现……让我重拾起对生的执念。],[雁兒姐，這幾日東虜屠城，我許多次都快要死了，是你的出現……讓我重撿起對生的執念。],"""<ruby=Swan Goose>Sister Yan</ruby>, during these days when the Eastern Barbarians ravaged the city, I nearly died countless times... Yet your phantom kept appearing, reviving my desperate grip on life.""",「雁姉、この数日、<ruby=とうりょ>東虜</ruby>に町が襲われ、何度も死にかけた。君の幻があったから……生きる執念を取り戻せたんだ」,"""Сестричка Лебёдушка, эти несколько дней, когда 'восточные лу' разоряли город, я множество раз был на грани смерти... И лишь твоя иллюзия помогла мне снова вернуть волю к жизни.""","""Сестричка Лебёдушка, эти несколько дней, когда 'восточные лу' разоряли город, я множество раз был на грани смерти... И лишь твоя иллюзия помогла мне снова вернуть волю к жизни.""",
,,方知宥,,,,,,,,默认42,,方知宥/35-2-1_方知宥_07,,[你陪在我身旁，对我来说从来都不是一件坏事……与你共度的时时刻刻，于我而言，都是那么的真实。],[你陪在我身旁，對我來說從來都不是一件壞事……與你共度的時時刻刻，於我而言，都是那麼的真實。],"""Your presence beside me was never a burden... Every shared moment with you felt profoundly real to me.""",「君が傍にいるのは、私にとって悪いことじゃなかった……君と過ごした一刻一刻が、私にとってはどこまでも現実感のあるものに感じたんだ」,"""Твоё присутствие рядом со мной никогда не было мне во вред... Каждый момент, проведённый с тобой, был для меня неотличим от реальности.""","""Твоё присутствие рядом со мной никогда не было мне во вред... Каждый момент, проведённый с тобой, был для меня неотличим от реальности.""",
,,方知宥,,,,,,,,默认43,,方知宥/35-2-1_方知宥_08,,[我希望你能一直陪着我……哪怕你只是一缕残魂，甚至是我妄自想象的幻觉……我都希望你能留下来。],[我希望你能一直陪著我……哪怕你只是一縷殘魂，甚至是我妄自想像的幻覺……我都希望你能留下來。],"""I long for you to stay eternally... Be you a wandering spirit or mere hallucination of my crumbling mind... I beg you to remain.""",「だから一緒にいてほしい……たとえ君が魂の残滓に過ぎなくとも、私の妄想からくる幻覚に過ぎないとしても……いてほしいんだ」,"""Я хочу, чтобы ты всегда была рядом... Даже если ты - лишь частичка неприкаянной души, да даже если ты существуешь исключительно лишь в моём воображении.. Я всё равно хочу, чтобы ты осталась.""","""Я хочу, чтобы ты всегда была рядом... Даже если ты - лишь частичка неприкаянной души, да даже если ты существуешь исключительно лишь в моём воображении.. Я всё равно хочу, чтобы ты осталась.""",
,,苏怜烟,,,,,,,,默认44,,,,[……],[……],"""...""",「……」,"""...""","""...""",
,,方知宥,,,,,,,,默认45,,方知宥/35-2-1_方知宥_09,,[雁儿姐，你愿意留下来，与我共度余生吗？],[雁兒姐，你願意留下來，與我共度餘生嗎？],"""<ruby=Swan Goose>Sister Yan</ruby>, will you stay and share my remaining days?""",「雁姉……どうか私と共に、これからの人生を一緒に歩いてはくれないか」,"""Сестричка Лебёдушка, согласна ли ты остаться и провести со мной остаток жизни?""","""Сестричка Лебёдушка, согласна ли ты остаться и провести со мной остаток жизни?""",
,,,,,,,,,,默认46,,,,我轻轻地在她耳边提问。,我輕輕的在她耳邊提問。,I whispered the question into her ear.,彼女の耳元でそう尋ねる。,Прошептал я ей на ухо.,Прошептал я ей на ухо.,
,,苏怜烟,,,,,,,,默认47,,,,[……],[……],"""...""",「……」,"""...""","""...""",
,,,,,,,,,,默认48,,,,我仿佛又听见了她的心跳，感到怀中的她在颤抖。,她聽了我的話後，身軀一直在顫抖。,"After hearing my words, her body trembled uncontrollably.",私の言葉を聞き、体をぶるっと震わせる彼女。,От моих слов её тело задрожало.,От моих слов её тело задрожало.,
,,,,,,,,,,默认481,,,,那颤抖里藏着她当年的决绝、藏着她的不舍、也藏着她那份隐藏在内心的悸动。,那顫抖裏藏著她當年的決絕、藏著她的不舍、也藏著她那份隱藏在內心的悸動。,"There is a tremble that hides her determination from the past, her reluctance, and the hidden palpitations in her heart.",その震えの中には彼女のその年の決意が隠されていて、彼女の名残惜しさが隠されていて、彼女の心に隠された鼓動も隠されています。,"В этой дрожь прячется ее решимость, ее недовольство и ее скрытый внутренний пульс.","В этой дрожь прячется ее решимость, ее недовольство и ее скрытый внутренний пульс.",
,,,,,,,,,,默认49,,,,在犹豫了片刻后，她终是开了口——,在猶豫了片刻後，她終是開了口——,"After hesitating for a moment, she finally spoke up——",しばらくためらった後、彼女はついに口を開いた--,После некоторого колебания она наконец - то открыла рот...,После некоторого колебания она наконец - то открыла рот...,
,BgEvent,最后的拥抱4,,,,,1,,,,,,,
,,苏怜烟,,,,,,,,默认50,,苏怜烟/35-2-1_苏怜烟_05,,[知宥，我愿意……],[知宥，我願意……],"[Zhiyou, I am willing to...]",,[Я готов...],,
,,,,,,,,,,默认51,,,,她在我耳边轻语着，继而紧紧抱住我。,她在我耳邊輕語著，繼而緊緊抱住我。,She whispered in my ear and then hugged me tightly.,彼女は私の耳元で軽く話して、そして私を抱きしめた。,Она прошептала мне на ухо и крепко обняла меня.,,
,,,,,,,,,,默认52,,,,……,……,……,……,.........,,
,,,,,,,,,,默认53,,,,突然，我感到肩上有些冰凉。,突然，我感到肩上有些冰涼。,"Suddenly, I felt a chill on my shoulders.",突然、肩が冷たくなった。,Внезапно я почувствовал холод на плечах.,,
,,,,,,,,,,默认54,,,,抬头望去，天上不再是阴雨天，而是晴空万里。,抬頭望去，天上不再是陰雨天，而是晴空萬里。,"Looking up, the sky is no longer cloudy and rainy, but clear and clear for thousands of miles.",見上げると、空は曇りや雨の日ではなく、青空が広がっていた。,"Взглянув вверх, небо уже не дождливое, а ясное небо.",,
,,,,,,,,,,默认55,,,,看来，落在我肩膀上的，并非是天上的雨，而确乎是她的泪滴。,看來，落在我肩膀上的，並非是天上的雨，而確乎是她的淚滴。,"It seems that what fell on my shoulder was not the rain from the sky, but indeed her tears.",どうやら、私の肩に落ちたのは、空の雨ではなく、彼女の涙だったようだ。,"Кажется, что на плечи мои упал не дождь с неба, а слезы ее.",,
,,,,,,,,,,默认56,,,,……,……,……,……,.........,,
,,,,,,,,,,默认57,,,,往后岁月，我与雁儿姐，我们不会再分开了。,往後歲月，我與雁兒姐，我們不會再分開了。,"In the future, Yan'er and I will not be separated again.",これからの歳月、私と雁児姉、私たちはもう別れません。,В последующие годы мы с сестрой гусей не расстанемся.,,
,,,,,,,,,,默认58,,,,哪怕一真一幻，一人一鬼又如何？,哪怕一真一幻，一人一鬼又如何？,"Even if it's a reality or a fantasy, what about one person and one ghost?",たとえ一真一幻でも、一人一鬼はどうだろうか。,"Даже если это правда, как насчет одного человека?",,
,,,,,,,,,,默认59,,,,……,……,……,……,.........,,
,,,,,,,,,,默认60,,,,我想与她在一起。,我想與她在一起。,I want to be with her.,私は彼女と一緒にいたい。,Я хочу быть с ней.,,
,,,,,,,,,,默认61,,,,一直在一起。,一直在一起。,Always together.,ずっと一緒です。,Всегда вместе.,,
,,,,,,,,,,默认621,,,,这对我们而言，便是最纯粹，也最完美的结局。,這對我們而言，便是最純粹，也最完美的結局。,"For us, this is the purest and most perfect ending.",これは私たちにとって、最も純粋で、最も完璧な結末です。,Для нас это самый чистый и идеальный конец.,,
,CharacterOff
,StopBgm,,,,,,3,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,ScreenText,1,White,2,1,2,72,,,结语4
,Bg,故事天空,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认62,,,,我背靠方院的木门，抬头望天。,我背靠方院的木門，抬頭望天。,"I leaned against the wooden door of Fang's Courtyard, gazing up at the sky.",方院の門にもたれ、天を仰いだ。,"Привалившись к деревянным воротам двора семьи Фан, я глядел на небо.",,
,,,,,,,,,,默认63,,,,门外是我，门内是雁儿姐。,門外是我，門內是雁兒姐。,Outside the door was me; inside was <ruby=Swan Goose>Sister Yan</ruby>.,門の外には私、内には雁姉がいる。,"Я был снаружи, сестричка Лебёдушка - внутри.",,
