#SHEET_NAME,记-第十七回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,,,,,,,,,,默认17,,,,不知怎的，第一眼的恍惚间，我将她看成了三四年前的那副模样。,不知怎的，第一眼的恍惚間，我將她看成了三四年前的那副模樣。,"Somehow, in that first fleeting glance, I mistook her for the way she had looked three or four years prior.",どういうわけか、ぱっと見た時、まどろみの中で彼女の姿が三四年前のものに見えた。,"По какой-то причине, когда я ещё не до конца пришёл в себя, мне показалось, что она выглядит точно так же, как три-четыре года назад."
,,,,,,,,,,默认18,,,,然后，转瞬之间——,然後，轉瞬之間——,"Then, in an instant—",次の瞬間――,Но в следующее же мгновение -
,,,,,,,,,,默认19,,,,等我彻底看清她时，她却穿了一身与当年截然不同的华丽装束，气质也判若两人。,等我徹底看清她時，她卻穿了一身與當年截然不同的華麗裝束，氣質也判若兩人。,"By the time I saw her clearly, she was clad in lavish attire utterly unlike that of the past, her bearing now unrecognizable.",はっきりと彼女の姿が見えるようになった。彼女はかつての頃とは異なる華やかな衣装を身に纏い、性格も別人のようだった。,"Стоило мне разглядеть её как следует, как я увидел, что одета она в совершенно другой, куда более шикарный наряд, и держится совсем иначе, нежели в те годы."
,CharacterOff,,,,,,1.5,,,,,,,
,Wait,,,,,,0.5,,,,,,,
,,林翩翩,担忧,,,,1.5,,,默认20,,林翩翩/31_林翩翩_002,,[知宥……怎么了？你还好吗？],[知宥……怎麼了？你還好嗎？],"""Zhiyou... what's wrong? Are you alright?""",「知宥、どうしたの？大丈夫？」,"""Чжию... что случилось? Всё в порядке?"""
,,,,,,,,,,默认21,,,,她用温柔而平静的语气询问着我，目光深邃，眉眼之间，已再无当年青涩的模样。,她用溫柔而平靜地語氣詢問著我，目光深邃，眉眼之間，已再無當年青澀的模樣。,"She inquired softly, her gaze profound, with no trace left of the youthful innocence that once graced her features.",優しく穏やかな声でそう問いかける彼女。吸い込まれるような目には、もはやあの頃の面影がなかった。,"Спросила она меня ласковым и спокойным тоном, взгляд её был глубоким, в лице не осталось и следа девичьей незрелости прошлых лет."
,,,,,,,,,,默认22,,,,林翩翩……,林翩翩……,Lin Pianpian...,林翩翩……,Линь Пяньпянь...
,,,,,,,,,,默认23,,,,她的存在、她如今的模样，都在清晰地提醒着我——此刻我已脱离了回忆、脱离了梦境——我终于回到了现实。,她的存在、她如今的模樣，都在清晰地提醒著我——此刻我已脫離了回憶、脫離了夢境——我終於回到了現實。,"Her presence—her very appearance now—stood as a stark reminder: I had left the memories, the dream behind. I had finally returned to reality.",彼女の存在が、彼女の姿が、はっきりと私に告げている――過去から、夢から抜け出し――ついに現実に戻ってきたことを。,Её присутствие и внешний вид ясно напомнили мне: сейчас я уже покинул свои воспоминания - вернулся из обители снов в реальный мир.
,,,,,,,,,,默认24,,,,如今已是雁儿姐逝去的四年后。,如今已是雁兒姐逝去的四年後。,It has now been four years since <ruby=Swan Goose>Sister Yan</ruby>'s passing.,雁姉が逝ってから既に四年だ。,Уже миновало четыре года со смерти сестрички Лебёдушки.
,,,,,,,,,,默认25,,,,山河破碎、物是人非，过去的一切，都早已变了。,山河破碎、物是人非，過去的一切，都早已變了。,Now the land lies broken and all is changed; everything from the past has long since transformed.,街も人も変わっていく。あの時の全てが、今や変わってしまっている。,"Сейчас страна наша в полной разрухе, произошли огромные перемены - всё, что было в прошлом, сейчас уже не то."
,,方知宥,,,,,,,,默认26,,方知宥/31_方知宥_02,,[我……只是想起些旧事……那日我们同去东关街，然后在二十四桥……看到了她。],[我……只是想起些舊事……那日我們同去東關街，然後在二十四橋……看到了她。],"""I... was just remembering the past... That day we went together to Dongguan Street, then to the Twenty-Four Bridges... where we saw her.""",「いや……昔のことを少し思い出してな……あの日、私たちは一緒に東関街に出かけ、二十四橋で……彼女を見つけた」,"""Я... просто вспомнил события тех лет... Как мы тогда с тобой вместе пошли на улицу Восточной заставы, а потом возле Двадцать четвёртого моста... я увидел её."""
,,方知宥,,,,,,,,默认27,,方知宥/31_方知宥_03,,[她全身冰冷，湿透……就那么突然不在了……这些年我一直逃避着去想这一幕，可终究……还是想起来了。],[她全身冰冷，濕透……就那麼突然不在了……這些年我一直逃避著去想這一幕，可終究……還是想起來了。],"""Her body was ice-cold, soaked through... then suddenly she was gone... All these years I've avoided recalling that moment, but ultimately... it came back to me.""",「彼女は全身ずぶ濡れのまま、冷たくなっていた……何の前触れもなくいなくなってしまった……それから今まで、ずっとあの光景を思い出さないようにしていたのに……今になって思い出してしまった」,"""Она была совершенно холодная, вся вымокшая в воде... Её не стало так внезапно... Этой сцены я избегал все эти годы, но в конце концов... всё-таки вспомнил и её."""
,,,,,,,,,,默认28,,,,我断断续续地低语着，描述着记忆中的画面，声音越说越低，几乎不可被听闻。,我斷斷續續地低語著，描述著記憶中的畫面，聲音越說越低，幾乎不可被聽聞。,"I murmured intermittently, describing the scenes from memory, my voice growing fainter until barely audible.",言葉に詰まりつつそう話す。記憶で見たものを話していくうちに声の調子が落ち、ほぼ聞こえないほどになっていった。,"Сбивчиво бормотал я, описывая картины из моих воспоминаний, мой голос становился всё тише и тише, пока не стал едва слышен."
,,林翩翩,,,,,,,,默认29,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认30,,,,林翩翩静静地听着，在旁边一言不发。,林翩翩靜靜地聽著，在旁邊一言不發。,"Lin Pianpian listened silently beside me, not speaking a word.",翩翩は私の傍で何も言わぬまま、静かに私の話を聞いていた。,"Линь Пяньпянь тихо слушала меня, не вставляя ни слова."
,,方知宥,,,,,,,,默认31,,方知宥/31_方知宥_04,,[翩翩……方才你假扮雁儿姐，说了许多关于她的事。],[翩翩……方才你假扮雁兒姐，說了許多關於她的事。],"""Pianpian... Earlier when you impersonated <ruby=Swan Goose>Sister Yan</ruby>, you revealed many things about her.""",「翩翩……さっき、君は雁姉のふりをして、彼女のことを色々話してくれたな」,"""Пяньпянь... Ты сейчас притворялась сестричкой Лебёдушкой и многое о ней рассказала."""
,,林翩翩,微笑,,,,,,,默认32,,林翩翩/31_林翩翩_003,,[怎么？你还在为此事生气？],[怎麼？你還在為此事生氣？],"""What? Are you still upset about this matter?""",「なに？まだそのことで怒ってるの？」,"""Что такое? Ты всё ещё на это злишься?"""
,,,,,,,,,,默认33,,,,她嘴角牵起一丝笑。,她嘴角牽起一絲笑。,Her lips curled into a faint smile.,ふふっと彼女が笑う。,На её губах появилась едва заметная улыбка.
,,方知宥,,,,,,,,默认34,,方知宥/31_方知宥_05,,[不生气了，只是不解……你为何知道那么多……］,[不生氣了，只是不解……你為何知道那麼多……］,"""Not upset anymore, just confused... how did you know so much...""",「もう怒ってないよ。だがわからないんだ……どうして君があんなに知っていたのか……」,"""Нет, не злюсь, просто не понимаю... Откуда тебе так много известно..."""
,,林翩翩,委屈,,,,,,,默认35,,,,[……］,[……］,"""...""",「……」,"""..."""
,,林翩翩,无奈,,,,,,,默认36,,林翩翩/31_林翩翩_004,,[这些年你虚度光阴时，我可没闲着，都在帮你打听……嗯，有些消息来自那位艄公，有些消息则是来自泠音阁的故人……］,[這些年你虛度光陰時，我可沒閒著，都在幫你打聽……嗯，有些消息來自那位艄公，有些消息則是來自泠音閣的故人……］,"""While you've been wasting time these years, I've been busy—gathering information for you... Some came from that Boatman, some from old contacts at <ruby=泠音>Lingyin</ruby> Pavilion...""",「あんたが廃人のようになっていたこの数年、あたしだって遊び惚けてたわけじゃない。色々聞き込みをしてたのよ……ある情報は船頭から、ある情報は泠音閣の知人から得たわ……」,"""Пока ты все эти годы терял время впустую, я не сидела сложа руки, а старалась для тебя всё разузнать... Хм, что-то удалось выяснить у того лодочника, а что-то у одной знакомой из Мелодичного павильона..."""
,,林翩翩,微笑,,,,,,,,,,,
,,方知宥,,,,,,,,默认37,,方知宥/31_方知宥_06,,[泠音阁的故人……景姨？不对……更可能是鹂儿，对吧？］,[泠音閣的故人……景姨？不對……更可能是鸝兒，對吧？］,"""Old contact at <ruby=泠音>Lingyin</ruby> Pavilion... Aunt Jing? No... more likely Li'er, correct?""",「泠音閣の知人……景ばあか？いや……むしろ鵹児か。そうだろう？」,"""У знакомой из Мелодичного павильона... У тётушки Цзин? Да нет... ты, наверно, про Ли'эр, ведь так?"""
,,,,,,,,,,默认38,,,,我看向林翩翩确认道。,我看向林翩翩確認道。,I glanced at Lin Pianpian for confirmation.,翩翩に確かめる。,"Уточнил я, глядя на Линь Пяньпянь."
,,林翩翩,微笑,,,,,,,默认39,,林翩翩/31_林翩翩_005,,[对，我知晓的大多事情，几乎都来自鹂儿。],[對，我知曉的大多事情，幾乎都來自鸝兒。],"""Indeed, most of what I know came from Li'er.""",「ええ。私が知ってるほとんどのことは、鵹児から仕入れたもの」,"""Верно, большую часть мне удалось узнать как раз у Ли'эр."""
,,,,,,,,,,默认40,,,,林翩翩坦然承认。,林翩翩坦然承認。,Lin Pianpian confessed openly.,彼女が素直に認めた。,Прямодушно ответила та.
,,方知宥,,,,,,,,默认41,,,,[……］,[……］,"""...""",「……」,"""..."""
,CharacterOff,,,,,,,,,,,,,
,,,,,,,,,,默认42,,,,我沉默地抿住下唇，指节无意识地扣住床沿。,我沉默地抿住下唇，指節無意識地扣住床沿。,"I pressed my lips together in silence, my fingers unconsciously clutching the bed's edge.",黙したまま唇を噛む。無意識に指が寝台の縁を掴んだ。,"Я молча прикусил нижнюю губу, бессознательно впиваясь пальцами в край кровати."
,,,,,,,,,,默认43,,,,鹂儿。,鸝兒。,Li'er.,鵹児。,Ли'эр.
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认44,,,,她曾是雁儿姐身边的侍女，和她走得很近，或许真能知道当年雁儿姐自尽的缘由。,她曾是雁兒姐身邊的侍女，和她走得很近，或許真能知道當年雁兒姐自盡的緣由。,She had once been <ruby=Swan Goose>Sister Yan</ruby>'s maid and was exceptionally close to her. She might truly know why <ruby=Swan Goose>Sister Yan</ruby> took her own life back then.,かつて雁姉の世話をしていた侍女で、雁姉とは親しくしていた。ならば雁姉が自殺をした理由を知っているかもしれない。,"Служанка сестрички Лебёдушки, которая в своё время постоянно была подле неё - возможно, ей действительно будет известна причина самоубийства той."
,,,,,,,,,,默认45,,,,自雁儿姐离世后，我再也未见过鹂儿，也不知当年的事要从何查起。,自雁兒姐離世後，我再也未見過鸝兒，也不知當年的事要從何查起。,"After <ruby=Swan Goose>Sister Yan</ruby>'s death, I never saw Li'er again, nor did I know how to begin investigating the events of that year.",雁姉がこの世を去ってから鵹児とは会っていないし、あの時のことをどこから探ればいいのかもわからなかった。,"С тех самых пор, как сестрички Лебёдушки не стало, я так и не видел Ли'эр - и мне не от кого было узнать подробности тех событий."
,,,,,,,,,,默认46,,,,若是林翩翩能让我见到她，我问她一些事，或许就能揭晓当年雁儿姐不辞而别的真相了。,若是林翩翩能讓我見到她，我問她一些事，或許就能揭曉當年雁兒姐不辭而別的真相了。,"If Lin Pianpian could arrange for me to meet her, I might ask certain questions and finally uncover the truth behind <ruby=Swan Goose>Sister Yan</ruby>'s abrupt disappearance.",もしも翩翩が彼女と会わせてくれるなら、聞きたいことがある。そうすれば別れも告げず雁姉が逝ってしまった真相を知ることができるかもしれない。,"Если при помощи Линь Пяньпянь мне удастся с ней увидеться, то, быть может, получится выяснить у неё правду о скоропостижном уходе сестрички Лебёдушки."
,,,,,,,,,,默认47,,,,不过……还是感觉哪里不太对劲。,不過……還是感覺哪裡不太對勁。,But... something still feels off.,しかし……やはりどこかおかしい気がしてならない。,Однако... кое-что меня всё же смущало.
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,方知宥,,,,,,,,默认48,,方知宥/31_方知宥_07,,[翩翩，你若是早知道真相，为何当年不告诉我？],[翩翩，你若是早知道真相，為何當年不告訴我？],"""Pianpian, if you knew the truth back then, why didn't you tell me?""",「翩翩、真相を知っていたなら、どうしてあの時教えてくれなかった」,"""Пяньпянь, если ты всё это время знала правду, почему ещё тогда сразу не сказала мне?"""
,,,,,,,,,,默认49,,,,我疑惑地问。,我疑惑地問。,"I asked, puzzled.",困惑しつつ訊く私。,Озадаченно спросил я.
,,林翩翩,委屈,,,,,,,默认50,,,,[……］,[……］,"""...""",「……」,"""..."""
,,林翩翩,微笑,,,,,,,,,,,
,,,,,,,,,,默认51,,,,她沉默片刻，继而嘴角勾起了一抹略显牵强的笑容。,她沉默片刻，繼而嘴角勾起了一抹略顯牽強的笑容。,"She remained silent for a moment, then forced a faint smile.",彼女は少し黙りこくり、無理に笑顔を作ってみせた。,"Она на мгновение замолчала, затем на её губах появилась слегка натянутая улыбка."
,,林翩翩,,,,,,,,默认52,,林翩翩/31_林翩翩_006,,[我原先觉得，知道真相于你而言并无益处，便想一直瞒下去，等你彻底看开后再考虑是否要告诉你……],[我原先覺得，知道真相於你而言並無益處，便想一直瞞下去，等你徹底看開後再考慮是否要告訴你……],"""I thought knowing the truth wouldn't benefit you, so I planned to keep it hidden—waiting until you'd moved on completely before considering whether to tell you...""",「当時は真相を話したところで知宥にとって何の得にもならないから、伏せておこうと思ったの。そのことで悩まなくなってから、改めて話すつもりだった……」,"""Я считала, что правда эта не принесёт тебе никакой пользы и решила скрывать её до тех пор, пока ты не примиришься с тем событием окончательно..."""
,,林翩翩,自嘲,,,,,,,默认53,,林翩翩/31_林翩翩_007,,[可是，近来变故太多，知情人或死或疯，或是要离开扬州……若是再瞒下去，你恐怕此生都无机会知晓了……我不想看你这样浑噩一生。］,[可是，近來變故太多，知情人或死或瘋，或是要離開揚州……若是再瞞下去，你恐怕此生都無機會知曉了……我不想看你這樣渾噩一生。］,"""But with so many recent upheavals... those who knew the truth have either died, gone mad, or left Yangzhou. If I kept hiding it, you might never know... I couldn't bear watching you live your whole life in such confusion.""",「でも近頃の事件続きで、事情を知っている人は死んだり狂ったり、揚州を去ったりしてしまった……このまま隠していたら、一生知宥が知る機会がなくなってしまうかもしれない……何も知らないまま知宥が人生を過ごす姿なんて見たくない」,"""Но с учётом всех недавних потрясений - те, кто знал правду, либо умерли, либо сошли с ума, либо покинули Янчжоу... Если я буду молчать дальше, ты, возможно, до конца жизни так и останешься в неведении... А мне тяжело видеть, как ты так бредёшь по жизни, ничего не зная."""
,,方知宥,,,,,,,,默认54,,,,[……],[……],"""...""",「……」,"""..."""
,,林翩翩,,,,,,,,默认55,,林翩翩/31_林翩翩_008,,[知宥，你若是能答应我一件事，我便让你知晓真相。],[知宥，你若是能答應我一件事，我便讓你知曉真相。],"""Zhiyou, if you agree to one condition, I'll reveal the truth to you.""",「知宥、一つお願いを聞いてくれるなら、真実を教えてあげる」,"""Чжию, если ты пообещаешь мне одну вещь, я позволю тебе узнать, как всё было на самом деле."""
,,,,,,,,,,默认56,,,,她轻声道。,她輕聲道。,She whispered.,何気なく彼女がそう言った。,Тихо сказала она.
,,方知宥,,,,,,,,默认57,,方知宥/31_方知宥_08,,[何事？],[何事？],"""What is it?""",「何だ？」,"""Какую вещь?"""
,,,,,,,,,,默认58,,,,我有些紧张，不由得屏住了呼吸。,我有些緊張，不由得屏住了呼吸。,A nervous tension made me hold my breath involuntarily.,思わず身構える。,В напряжении я невольно затаил дыхание.
,,林翩翩,疲惫,,,,,,,默认59,,,,[……],[……],"""...""",「……」,"""..."""
,,林翩翩,担忧,,,,,,,默认60,,林翩翩/31_林翩翩_009,,[得知真相后，你不要想着寻死，无论如何，都要好好活着。],[得知真相後，你不要想著尋死，無論如何，都要好好活著。],"""Once you know the truth, don't contemplate suicide. You must keep living, no matter what.""",「真実を知っても、死のうとしないで。何があっても、しっかり生きて」,"""Что узнав правду, ты не будешь пытаться искать смерти. Какой бы она для тебя не оказалась - ты, главное, живи."""
,,,,,,,,,,默认61,,,,她缓缓说道，目光紧锁着我。,她緩緩說道，目光緊鎖著我。,"She spoke deliberately, her eyes fixed intently on me.",まっすぐに私の目を見て、はっきりとそう言う彼女。,"Проговорила она, пристально глядя на меня."
,,方知宥,,,,,,,,默认62,,,,[……],[……],"""...""",「……」,"""..."""
,,,,,,,,,,默认63,,,,我没有立刻回应她。,我沒有立刻回應她。,I remained silent for a moment.,少し、答えに迷った。,Я не ответил ей сразу.
,,,,,,,,,,默认64,,,,寻死？,尋死？,Suicide?,死のうとしないで……？,Искать смерти?
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认65,,,,知晓旧事……竟会让我心生死志？,知曉舊事……竟會讓我心生死志？,Could learning about the past... truly drive me to despair?,過去を知ることが……私が死にたくなるようなことなのか？,Неужели правда о том прошлом... будет способна довести меня до самоубийства?
,,,,,,,,,,默认66,,,,这既勾起了我的一丝好奇心，也为我带来了一丝寒意。,這既勾起了我的一絲好奇心，也為我帶來了一絲寒意。,This simultaneously piqued my curiosity and filled me with dread.,私の好奇心をそそるとともに、どこか嫌な予感をさせた。,"Это пробудило во мне любопытство, но также заставило меня похолодеть."
,,,,,,,,,,默认67,,,,究竟是怎样的真相？,究竟是怎樣的真相？,What sort of truth awaits me?,一体……どんな真実なのだ？,Что же это за правда такая может быть?
,,,,,,,,,,默认69,,,,正犹豫间，她却先开了口——,正猶豫間，她卻先開了口——,"Just as I hesitated, she spoke first—",迷う私であったが、彼女の方が先に口を開いた――,"Пока я колебался, она заговорила первой:"
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,林翩翩,苦笑,,,,,,,默认70,,林翩翩/31_林翩翩_010,,[罢了罢了……我也管不住你，若你执意求死，我能有什么法子呢？],[罷了罷了……我也管不住你，若你執意求死，我能有什麼法子呢？],"""Enough, enough... I can't stop you. If you're determined to die, what can I do?""",「はあ……やっぱ今のはなし。あたしにだって知宥を縛ることはできない。どうしても死にたいって言う人に、それ以上何かできるわけじゃないし」,"""Ладно, ладно... Мне всё равно за тобой не уследить - если ты во что бы то ни стало решишь наложить на себя руки, как я смогу тебя остановить?"""
,,林翩翩,自嘲,,,,,,,默认71,,林翩翩/31_林翩翩_011,,[走吧，我带你去找鹂儿，让她亲口给你讲出当年的真相吧。],[走吧，我帶你去找鸝兒，讓她親口給你講出當年的真相吧。],"""Come, I'll take you to Li'er. Let her tell you the truth of that year herself.""",「さ、行きましょ。鵹児のところに連れて行ってあげる。彼女の口からあの時の真実を聞くといいわ」,"""Пойдём, я отведу тебя к Ли'эр. Пусть она сама расскажет тебе, что тогда случилось на самом деле."""
,CharacterOff,,,,,,,,,,,,,
,,,,,,,,,,默认72,,,,她突然起身，向着门的那一端走去，仿佛要给我领路。,她突然起身，向著門的那一端走去，彷彿要給我帶路。,"She suddenly stood and walked toward the door, as if to lead me.",彼女は立ち上がると、私を先導するように扉の方へ歩いて行った。,"Она резко встала и направилась к двери, будто собираясь показать мне дорогу."
,,方知宥,,,,,,,,默认73,,方知宥/31_方知宥_09,,[你能找到鹂儿？她如今在何处？],[你能找到鸝兒？她如今在何處？],"""You can find Li'er? Where is she now?""",「鵹児の居所を知ってるのか？今どこにいる？」,"""Ты можешь отвести меня к Ли'эр? А где она сейчас?"""
,,,,,,,,,,默认74,,,,我微微一愣，有些意外。,我微微一愣，有些意外。,"I froze for a moment, taken aback.",彼女の意外な発言に少し驚く。,"Я замер, слегка ошеломлённый."
,,,,,,,,,,默认75,,,,如今，在这城里，想找一个人并不容易。,如今，在這城裡，想找一個人並不容易。,"Nowadays, finding someone in this city isn't easy.",今のこの町では、人ひとり探すのですら容易ではないのだ。,В нынешней ситуации отыскать кого-то в городе было бы непростой задачей.
,,方知宥,,,,,,,,默认76,,,,[……],[……],"""...""",「……」,"""..."""
,,林翩翩,通常,,,,,,,默认77,,林翩翩/31_林翩翩_012,,[能找到呀，我知道她在哪……不过，你若是想去那里，需先打扮一番。],[能找到呀，我知道她在哪……不過，你若是想去那裡，需先打扮一番。],"""I can find her. I know where she is... But if you want to go, you’ll need to dress up first.""",「見つけられるわよ、どこにいるか知ってるから……でも、行くなら身だしなみを整えなきゃね」,"""Да, могу, я знаю, где она... Но прежде чем отправиться туда, тебе нужно будет переодеться."""
,,,,,,,,,,默认78,,,,她笑着对我说道。,她笑著對我說道。,She said to me with a smile.,微笑みをたたえ、答える彼女。,Сказала она с улыбкой.
,CharacterOff,,,,,,,,,,,,,
,,,,,,,,,,默认79,,,,……,……,...,……,...
,,,,,,,,,,默认80,,,,随后，林翩翩解开了我的锁链。,隨後，林翩翩解開了我的鎖鏈。,"Then, Lin Pianpian unfastened my chains.",その後、林翩翩が私の鎖を外してくれた。,После этого Линь Пяньпянь расстегнула цепь на мне.
,,,,,,,,,,默认81,,,,她出门了片刻，似乎是找到了门口等着的老林头，托他为我找来了一套衣裳。,她出門了片刻，似乎是找到了門口等著的老林頭，託他為我找來了一套衣裳。,"She stepped outside briefly, apparently finding Old Man Lin waiting at the door, and asked him to bring me a set of clothes.",彼女は外に出るとすぐ、扉前で待っていた林老人を見つけたようで、服を持ってくるよう彼に頼んだ。,"Выйдя наружу, она вроде как обратилась к стоявшему за дверями старику Линю, чтобы тот принёс для меня одежду."
,,林翩翩,微笑,,,,1,,,默认82,,林翩翩/31_林翩翩_013,,[换上这件吧。],[換上這件吧。],"""Wear this instead.""",「これに着替えて」,"""Надевай вот это."""
,,,,,,,,,,默认83,,,,林翩翩指了指她丢在床上的衣物。,林翩翩指了指她丟在床上的衣物。,Lin Pianpian gestured toward the clothes she'd thrown on the bed.,寝台に放られた服を指さし、翩翩がそう言った。,"Показала она на одежду, которую положила на кровать."
,,,,,,,,,,默认84,,,,我拾起一看，竟然是件翠绿缎面的长裙——这分明是一件女子的装束。,我撿起一看，竟然是件翠綠緞面的長裙——這分明是一件女子的裝束。,I picked it up and saw it was a long emerald-green satin dress—clearly women's attire.,拾ってみると、翡翠色の<ruby=しゅすおり>繻子織</ruby>の裳だった――どう見ても女物だ。,"Приподняв её, я обнаружил, что это было сатиновое платье изумрудного цвета - явно женское одеяние."
,,方知宥,,,,,,,,默认85,,方知宥/31_方知宥_10,,[这……是女装吧？是否拿错了？］,[這……是女裝吧？是否拿錯了？］,"""This... is women's clothing, isn't it? Was this a mistake?""",「これは……女物だろう？服を間違えてないか？」,"""Это же... женская одежда? Ты ничего не перепутала?"""
,,,,,,,,,,默认86,,,,我有些尴尬地问。,我有些尷尬地問。,I asked awkwardly.,戸惑いつつも、一応訊いてみる。,Неловко спросил я.
